# flow_time=20.0
x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
-0.75,0.0,0.0,0.0036026037,-0.1946249,0.0,0.0,0.0,0.00016598344,0.036873322,-0.2251824,-4.7476657e-05,-0.036873326,0.004322394,0.0,0.036873322,-0.21058631,-9.495331e-05,-0.23977849,-0.036873326,0.008644788,0.0,0.0,0.0
-0.7375,0.0,0.0,0.004106211,-0.19774152,0.0,0.0,0.0,0.00032876403,0.04162875,-0.23077562,7.152994e-05,-0.04162875,0.0045837616,0.0,0.04162875,-0.21505512,0.00014305988,-0.24649614,-0.04162875,0.009167523,0.0,0.0,0.0
-0.725,0.0,0.0,0.0046887523,-0.20093465,0.0,0.0,0.0,0.0006266212,0.047267724,-0.2365135,0.00022501456,-0.04726772,0.0048351493,0.0,0.047267724,-0.21954778,0.00045002913,-0.2534792,-0.04726772,0.009670299,0.0,0.0,0.0
-0.7125,0.0,0.0,0.00540699,-0.2041621,0.0,0.0,0.0,0.0011492929,0.0539375,-0.24233727,0.00041298178,-0.0539375,0.005074577,0.0,0.0539375,-0.22402209,0.00082596357,-0.26065245,-0.0539375,0.010149154,0.0,0.0,0.0
-0.7,0.0,0.0,0.006168419,-0.20754033,0.0,0.0,0.0,0.002028485,0.061781615,-0.24815735,0.00063275883,-0.061781615,0.0053007645,0.0,0.061781615,-0.22842264,0.0012655177,-0.26789206,-0.061781615,0.010601529,0.0,0.0,0.0
-0.6875,0.0,0.0,0.007046077,-0.21107277,0.0,0.0,0.0,0.0034455531,0.07092525,-0.25385308,0.00087808777,-0.070925236,0.0055134324,0.0,0.07092525,-0.2326879,0.0017561755,-0.27501824,-0.070925236,0.011026865,0.0,0.0,0.0
-0.675,0.0,0.0,0.007827338,-0.21354547,0.0,0.0,0.0,0.0056330487,0.081457995,-0.25927734,0.001138281,-0.081457995,0.0057135103,0.0,0.081457995,-0.23675323,0.002276562,-0.28180146,-0.081457995,0.011427021,0.0,0.0,0.0
-0.6625,0.0,0.0,0.008903797,-0.21720952,0.0,0.0,0.0,0.008865664,0.093416326,-0.2642698,0.0013970387,-0.09341635,0.0059034284,0.0,0.093416326,-0.24056558,0.0027940774,-0.287974,-0.09341635,0.011806857,0.0,0.0,0.0
-0.65,0.0,0.0,0.010162332,-0.22085238,0.0,0.0,0.0,0.013436933,0.1067726,-0.26868162,0.0016316909,-0.1067726,0.0060874526,0.0,0.1067726,-0.24409856,0.0032633818,-0.2932647,-0.1067726,0.012174905,0.0,0.0,0.0
-0.6375,0.0,0.0,0.011648876,-0.22445278,0.0,0.0,0.0,0.01962147,0.12143466,-0.27241436,0.0018122309,-0.12143466,0.0062716235,0.0,0.12143466,-0.24737346,0.0036244618,-0.29745525,-0.12143466,0.012543247,0.0,0.0,0.0
-0.625,0.0,0.0,0.013325447,-0.22816752,0.0,0.0,0.0,0.02762887,0.13726558,-0.27545917,0.0019009014,-0.13726556,0.0064641046,0.0,0.13726558,-0.25047988,0.0038018029,-0.30043846,-0.13726556,0.012928209,0.0,0.0,0.0
-0.61249995,0.0,0.0,0.015185029,-0.23192641,0.0,0.0,0.0,0.037563447,0.15412626,-0.2779347,0.0018522089,-0.15412624,0.0066746366,0.0,0.15412626,-0.25359198,0.0037044177,-0.30227742,-0.15412624,0.013349273,0.0,0.0,0.0
-0.6,0.0,0.0,0.01725994,-0.23570205,0.0,0.0,0.0,0.04941213,0.17193773,-0.2801062,0.0016136733,-0.17193773,0.0069141285,0.0,0.17193773,-0.25697798,0.0032273466,-0.30323443,-0.17193773,0.013828257,0.0,0.0,0.0
-0.5875,0.0,0.0,0.01952546,-0.23937467,0.0,0.0,0.0,0.06308993,0.19075978,-0.2823608,0.0011274479,-0.19075978,0.0071936827,0.0,0.19075978,-0.26099,0.0022548959,-0.3037316,-0.19075978,0.014387365,0.0,0.0,0.0
