# flow_time=30.0
x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
0.0,-0.28750002,0.0,0.16225539,0.049752098,0.0,0.0,0.0,2.3787856,-0.20002066,-0.10237786,0.14059196,0.2000207,-0.07068327,0.0,-0.20002066,-1.0395018,0.28118393,0.83474606,0.2000207,-0.14136654,0.0,0.0,0.0
0.0,-0.27499998,0.0,0.14833052,0.051539917,0.0,0.0,0.0,2.542768,-0.06763088,-0.17291188,0.14045957,0.067630954,-0.0713351,0.0,-0.06763088,-1.1783823,0.28091913,0.8325585,0.067630954,-0.1426702,0.0,0.0,0.0
0.0,-0.2625,0.0,0.13274065,0.051490948,0.0,0.0,0.0,2.6427352,0.07188549,-0.21817118,0.13349386,-0.071885504,-0.07195625,0.0,0.07188549,-1.2676191,0.2669877,0.8312768,-0.071885504,-0.1439125,0.0,0.0,0.0
0.0,-0.25,0.0,0.11635676,0.04970737,0.0,0.0,0.0,2.673823,0.20920765,-0.23545188,0.11918497,-0.20920764,-0.07230788,0.0,0.20920765,-1.3031572,0.23836994,0.83225346,-0.20920764,-0.14461575,0.0,0.0,0.0
0.0,-0.23750001,0.0,0.09996074,0.046236996,0.0,0.0,0.0,2.637986,0.33446085,-0.22485524,0.09767356,-0.33446085,-0.07197385,0.0,0.33446085,-1.2863829,0.19534712,0.8366724,-0.33446085,-0.1439477,0.0,0.0,0.0
0.0,-0.22499996,0.0,0.084087186,0.04138517,0.0,0.0,0.0,2.543459,0.43850723,-0.18923369,0.06987825,-0.4385073,-0.07038769,0.0,0.43850723,-1.2238042,0.1397565,0.84533685,-0.4385073,-0.14077538,0.0,0.0,0.0
0.0,-0.21250004,0.0,0.06871823,0.03492794,0.0,0.0,0.0,2.403263,0.514147,-0.13370916,0.037529163,-0.514147,-0.06690504,0.0,0.514147,-1.1259243,0.075058326,0.858506,-0.514147,-0.13381007,0.0,0.0,0.0
0.0,-0.19999999,0.0,0.055197887,0.02830967,0.0,0.0,0.0,2.2330093,0.5570019,-0.06482983,0.0030746183,-0.5570019,-0.06091074,0.0,0.5570019,-1.0054914,0.0061492366,0.8758317,-0.5570019,-0.12182148,0.0,0.0,0.0
0.0,-0.1875,0.0,0.043384902,0.021356674,0.0,0.0,0.0,2.0484831,0.5659116,0.010422826,-0.030549858,-0.5659116,-0.051939417,0.0,0.5659116,-0.87554115,-0.061099716,0.8963868,-0.5659116,-0.10387883,0.0,0.0,0.0
0.0,-0.17500001,0.0,0.033244234,0.014500061,0.0,0.0,0.0,1.8634107,0.54283774,0.08561933,-0.060279097,-0.54283774,-0.039781913,0.0,0.54283774,-0.74754655,-0.120558195,0.9187852,-0.54283774,-0.07956383,0.0,0.0,0.0
0.0,-0.16250002,0.0,0.02465258,0.008101838,0.0,0.0,0.0,1.6878442,0.49231127,0.15566802,-0.08334442,-0.49231127,-0.02455041,0.0,0.49231127,-0.6300182,-0.16668884,0.9413542,-0.49231127,-0.04910082,0.0,0.0,0.0
0.0,-0.14999998,0.0,0.01742933,0.002486936,0.0,0.0,0.0,1.5273926,0.42060047,0.21727744,-0.097693995,-0.4206005,-0.0066852435,0.0,0.42060047,-0.5278074,-0.19538799,0.9623623,-0.4206005,-0.013370487,0.0,0.0,0.0
0.0,-0.13750005,0.0,0.011352678,-0.00218627,0.0,0.0,0.0,1.3833659,0.33478013,0.26903045,-0.10232501,-0.33478016,0.013098184,0.0,0.33478013,-0.4421529,-0.20465001,0.9802138,-0.33478016,0.026196368,0.0,0.0,0.0
0.0,-0.125,0.0,0.006645756,-0.005672423,0.0,0.0,0.0,1.2536999,0.24185929,0.31112242,-0.09744707,-0.24185933,0.03391767,0.0,0.24185929,-0.37138578,-0.19489413,0.9936306,-0.24185933,0.06783534,0.0,0.0,0.0
0.0,-0.11250001,0.0,0.0024421636,-0.008033427,0.0,0.0,0.0,1.1344098,0.1481038,0.34484372,-0.08444694,-0.14810382,0.054855466,0.0,0.1481038,-0.31210524,-0.16889387,1.0017927,-0.14810382,0.10971093,0.0,0.0,0.0
0.0,-0.100000024,0.0,-0.0010381797,-0.009217505,0.0,0.0,0.0,1.0211827,0.058583885,0.37196058,-0.06564647,-0.05858387,0.07509179,0.0,0.058583885,-0.26047826,-0.13129294,1.0043994,-0.05858387,0.15018357,0.0,0.0,0.0
0.0,-0.087500036,0.0,-0.003869142,-0.009327935,0.0,0.0,0.0,0.9107803,-0.023044182,0.39413348,-0.043913193,0.023044178,0.09400958,0.0,-0.023044182,-0.2134139,-0.087826386,1.0016809,0.023044178,0.18801916,0.0,0.0,0.0
0.0,-0.07499999,0.0,-0.006166913,-0.008532913,0.0,0.0,0.0,0.801989,-0.094563544,0.41250837,-0.022196202,0.09456353,0.111252345,0.0,-0.094563544,-0.1693396,-0.044392403,0.99435633,0.09456353,0.22250469,0.0,0.0,0.0
0.0,-0.0625,0.0,-0.0077557852,-0.0068170168,0.0,0.0,0.0,0.69600105,-0.1550762,0.42750776,-0.003083568,0.15507622,0.12672818,0.0,-0.1550762,-0.12851216,-0.006167136,0.98352766,0.15507622,0.25345635,0.0,0.0,0.0
0.0,-0.050000012,0.0,-0.008869652,-0.0044554016,0.0,0.0,0.0,0.5962636,-0.2047827,0.43883926,0.01153922,0.20478263,0.140567,0.0,-0.2047827,-0.09288643,0.02307844,0.97056496,0.20478263,0.281134,0.0,0.0,0.0
0.0,-0.037500024,0.0,-0.009710173,-0.0012993847,0.0,0.0,0.0,0.5079626,-0.24468371,0.44563788,0.020677662,0.2446837,0.15304506,0.0,-0.24468371,-0.06569156,0.041355323,0.9569673,0.2446837,0.30609012,0.0,0.0,0.0
0.0,-0.024999976,0.0,-0.0102982335,0.0019057245,0.0,0.0,0.0,0.43733412,-0.27624393,0.4466634,0.02425221,0.27624393,0.16449572,0.0,-0.27624393,-0.05088822,0.04850442,0.94421506,0.27624393,0.32899144,0.0,0.0,0.0
0.0,-0.012500048,0.0,-0.010633069,0.00555172,0.0,0.0,0.0,0.39096552,-0.3010315,0.44050148,0.02298095,0.3010315,0.17522605,0.0,-0.3010315,-0.05265547,0.0459619,0.9336584,0.3010315,0.3504521,0.0,0.0,0.0
0.0,0.0,0.0,-0.011134373,0.009461505,0.0,0.0,0.0,0.37515217,-0.3203747,0.42571563,0.018166997,0.3203747,0.18545385,0.0,-0.3203747,-0.07496152,0.036333993,0.9263928,0.3203747,0.3709077,0.0,0.0,0.0
0.0,0.012499988,0.0,-0.012102809,0.013570014,0.0,0.0,0.0,0.39528918,-0.33507007,0.40100563,0.011446051,0.33507004,0.19527204,0.0,-0.33507007,-0.12117174,0.022892103,0.923183,0.33507004,0.3905441,0.0,0.0,0.0
0.0,0.025000036,0.0,-0.013800983,0.01754457,0.0,0.0,0.0,0.45519954,-0.34518218,0.36539352,0.0045423773,0.34518212,0.2046401,0.0,-0.34518218,-0.193607,0.009084755,0.9243941,0.34518212,0.4092802,0.0,0.0,0.0
0.0,0.037500024,0.0,-0.016706629,0.02181434,0.0,0.0,0.0,0.55634516,-0.3499796,0.31849283,-0.0009387878,0.34997958,0.21340187,0.0,-0.3499796,-0.2929587,-0.0018775756,0.9299444,0.34997958,0.42680374,0.0,0.0,0.0
0.0,0.050000012,0.0,-0.02106311,0.02612656,0.0,0.0,0.0,0.69694257,-0.3480168,0.2608565,-0.0036681544,0.34801677,0.22131626,0.0,-0.3480168,-0.4175762,-0.0073363087,0.9392892,0.34801677,0.44263253,0.0,0.0,0.0
0.0,0.0625,0.0,-0.027173372,0.030342778,0.0,0.0,0.0,0.87114763,-0.33738184,0.194343,-0.0027010357,0.33738184,0.22809708,0.0,-0.33738184,-0.56275713,-0.0054020714,0.95144314,0.33738184,0.45619416,0.0,0.0,0.0
0.0,0.07500005,0.0,-0.035393964,0.03424295,0.0,0.0,0.0,1.0685993,-0.3160664,0.122386396,0.0024551246,0.3160664,0.23345001,0.0,-0.3160664,-0.7202725,0.0049102493,0.9650453,0.3160664,0.46690002,0.0,0.0,0.0
0.0,0.087500036,0.0,-0.04548269,0.037955828,0.0,0.0,0.0,1.2746252,-0.2824159,0.05001831,0.011809531,0.2824159,0.23710671,0.0,-0.2824159,-0.8784396,0.023619061,0.9784762,0.2824159,0.47421342,0.0,0.0,0.0
0.0,0.100000024,0.0,-0.057314254,0.040952146,0.0,0.0,0.0,1.4713582,-0.23556985,-0.016449392,0.024894875,0.23556983,0.23884732,0.0,-0.23556985,-1.022943,0.04978975,0.99004424,0.23556983,0.47769463,0.0,0.0,0.0
0.0,0.11249995,0.0,-0.0710091,0.04348527,0.0,0.0,0.0,1.6397651,-0.17580372,-0.070129186,0.0408179,0.17580372,0.23851667,0.0,-0.17580372,-1.1384518,0.0816358,0.99819344,0.17580372,0.47703335,0.0,0.0,0.0
0.0,0.125,0.0,-0.08590032,0.045170385,0.0,0.0,0.0,1.7623498,-0.10468982,-0.10455316,0.05835681,0.104689814,0.23602995,0.0,-0.10468982,-1.2108235,0.11671362,1.0017172,0.104689814,0.4720599,0.0,0.0,0.0
0.0,0.13750005,0.0,-0.101351336,0.045876607,0.0,0.0,0.0,1.8260207,-0.025028413,-0.11476302,0.076105095,0.025028413,0.23137632,0.0,-0.025028413,-1.2294911,0.15221019,0.9999651,0.025028413,0.46275264,0.0,0.0,0.0
0.0,0.14999998,0.0,-0.11654226,0.045640543,0.0,0.0,0.0,1.8245277,0.0594539,-0.09827128,0.09264532,-0.0594539,0.22462109,0.0,0.0594539,-1.1895087,0.18529063,0.9929661,-0.0594539,0.44924217,0.0,0.0,0.0
0.0,0.1624999,0.0,-0.13143425,0.043907985,0.0,0.0,0.0,1.7598804,0.1445794,-0.05564004,0.10672838,-0.1445794,0.21590306,0.0,0.1445794,-1.0927362,0.21345676,0.98145616,-0.1445794,0.43180612,0.0,0.0,0.0
0.0,0.17500007,0.0,-0.14433266,0.04157784,0.0,0.0,0.0,1.6424141,0.2262632,0.009447008,0.11742564,-0.2262632,0.20543195,0.0,0.2262632,-0.94791895,0.23485129,0.96681297,-0.2262632,0.4108639,0.0,0.0,0.0
0.0,0.1875,0.0,-0.15530793,0.038522534,0.0,0.0,0.0,1.4895043,0.30100006,0.090639174,0.12422625,-0.30100006,0.19348232,0.0,0.30100006,-0.76961195,0.2484525,0.9508903,-0.30100006,0.38696465,0.0,0.0,0.0
0.0,0.20000005,0.0,-0.16377862,0.0343235,0.0,0.0,0.0,1.3231775,0.36619517,0.17978045,0.1270625,-0.3661952,0.180383,0.0,0.36619517,-0.5762145,0.254125,0.9357754,-0.3661952,0.360766,0.0,0.0,0.0
0.0,0.21249998,0.0,-0.16982934,0.029386774,0.0,0.0,0.0,1.1671593,0.42024744,0.2679779,0.12626302,-0.4202474,0.16650087,0.0,0.42024744,-0.3875731,0.25252604,0.92352885,-0.4202474,0.33300173,0.0,0.0,0.0
0.0,0.22500002,0.0,-0.17362171,0.02386426,0.0,0.0,0.0,1.0438262,0.46241447,0.34669542,0.1224512,-0.46241447,0.152217,0.0,0.46241447,-0.22252794,0.2449024,0.91591877,-0.46241447,0.304434,0.0,0.0,0.0
0.0,0.23749995,0.0,-0.17550689,0.01787349,0.0,0.0,0.0,0.97151494,0.49249858,0.40869036,0.11641437,-0.49249858,0.13790365,0.0,0.49249858,-0.09680133,0.23282874,0.91418207,-0.49249858,0.2758073,0.0,0.0,0.0
0.0,0.25,0.0,-0.17617871,0.011599206,0.0,0.0,0.0,0.9624039,0.51047605,0.44874936,0.108971305,-0.51047605,0.12389847,0.0,0.51047605,-0.021361463,0.21794261,0.9188602,-0.51047605,0.24779694,0.0,0.0,0.0
0.0,0.26249993,0.0,-0.1762407,0.005180169,0.0,0.0,0.0,1.0210873,0.51619387,0.4641835,0.10086493,-0.51619387,0.110484146,0.0,0.51619387,-0.0013342567,0.20172986,0.92970127,-0.51619387,0.22096829,0.0,0.0,0.0
0.0,0.2750001,0.0,-0.17638756,-0.0012291039,0.0,0.0,0.0,1.1438698,0.50924337,0.45510122,0.092691064,-0.5092433,0.09787602,0.0,0.50924337,-0.035437487,0.18538213,0.9456399,-0.5092433,0.19575204,0.0,0.0,0.0
0.0,0.28750002,0.0,-0.17708813,-0.0074358,0.0,0.0,0.0,1.3188437,0.4890536,0.4244344,0.08486795,-0.48905358,0.08621815,0.0,0.4890536,-0.115992256,0.1697359,0.96486104,-0.48905358,0.1724363,0.0,0.0,0.0
