time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z
0.06,10,16.666666,6.6,0.0,6.998954,-0.000611027,3.219419e-05,1.5717028873041272e-05,4.638521932065487e-05,7.087557605700567e-06
0.06,10,16.833332,6.6,0.0,6.9989758,-0.0005922836,3.1284522e-05,-2.428737934678793e-05,2.006965223699808e-05,-6.080408638808876e-07
0.06,10,17.0,6.6,0.0,6.9989977,-0.0005742395,3.0389056e-05,4.936446202918887e-06,5.8650155551731586e-05,4.3211064621573314e-05
0.06,10,17.166668,6.6,0.0,6.999019,-0.00055683544,2.9519666e-05,1.799737219698727e-05,7.450801786035299e-05,-2.4902735276555177e-05
0.06,10,17.333332,6.6,0.0,6.9990396,-0.0005400642,2.8679613e-05,-2.6546185836195946e-06,3.77424294129014e-06,4.511097358772531e-06
0.06,10,17.5,6.6,0.0,6.99906,-0.0005238868,2.7867034e-05,2.793499152176082e-05,1.9193568732589483e-05,5.636408786813263e-06
0.06,10,17.666668,6.6,0.0,6.99908,-0.00050829124,2.7045375e-05,3.7125166272744536e-05,6.773450877517462e-06,-1.2446552318579052e-05
0.06,10,17.833334,6.6,0.0,6.999099,-0.0004932432,2.6253052e-05,1.3042212231084704e-05,-2.0003120880573988e-05,-2.6761545086628757e-06
0.06,10,18.0,6.6,0.0,6.9991174,-0.00047872734,2.5494257e-05,2.187090285588056e-05,-1.5699653886258602e-05,2.2045614969101734e-06
0.06,10,18.166666,6.6,0.0,6.999136,-0.00046472583,2.4753623e-05,1.3846540241502225e-05,3.84011073037982e-05,1.4333242688735481e-05
0.06,10,18.333332,6.6,0.0,6.9991536,-0.00045120352,2.403697e-05,1.1585696483962238e-05,-5.22582558915019e-06,1.8095124687533826e-07
0.06,10,18.5,6.6,0.0,6.999171,-0.0004381591,2.3323577e-05,1.1861600796692073e-05,1.5847821487113833e-05,8.992190487333573e-06
0.06,10,18.666668,6.6,0.0,6.9991875,-0.0004255669,2.2640685e-05,-1.954850449692458e-05,1.4340068446472287e-05,-2.1399115212261677e-05
0.06,10,18.833332,6.6,0.0,6.999204,-0.00041339893,2.1978514e-05,-2.248348027933389e-05,-2.5789515348151326e-05,1.207659806823358e-06
0.06,10,19.0,6.6,0.0,6.99922,-0.00040165396,2.1331478e-05,-5.407971912063658e-06,2.977141411975026e-05,-1.0585639756754972e-05
0.06,10,19.166668,6.6,0.0,6.9992356,-0.0003903022,2.069911e-05,-1.0593357728794217e-06,1.253356458619237e-05,1.8570400243334007e-05
0.06,10,19.333334,6.6,0.0,6.999251,-0.00037934037,2.0083156e-05,1.1259282473474741e-05,2.9739865567535162e-05,6.952196599741001e-06
0.06,10,19.5,6.6,0.0,6.9992657,-0.00036873983,1.9489205e-05,-3.707459836732596e-05,4.858250031247735e-05,-4.57831401945441e-06
0.06,10,19.666666,6.6,0.0,6.99928,-0.0003584962,1.8916558e-05,9.969298844225705e-06,1.4599383575841784e-05,-8.293654900626279e-07
0.06,10,19.833332,6.6,0.0,6.9992943,-0.00034859736,1.8360442e-05,-4.9393565859645605e-06,-3.562658093869686e-06,7.198244475148385e-06
0.06,10,20.0,6.6,0.0,6.999308,-0.00033901772,1.7820625e-05,1.3243698049336672e-06,-8.503964636474848e-06,-1.934933607117273e-05
0.06,10,20.166668,6.6,0.0,6.9993215,-0.00032977315,1.7294893e-05,1.262087607756257e-06,-1.2780423276126385e-05,-5.820525075250771e-07
0.06,10,20.333332,6.6,0.0,6.9993343,-0.00032081368,1.6788603e-05,2.9111106414347887e-06,-5.198991857469082e-06,2.487558958819136e-08
0.06,10,20.5,6.6,0.0,6.999347,-0.00031062381,1.6429578e-05,1.5708370483480394e-05,-1.9881699699908495e-06,9.804299679672113e-06
0.06,10,20.666668,6.6,0.0,6.99936,-0.00030227736,1.5927712e-05,-3.118942549917847e-05,6.816699169576168e-06,-2.1543316051975125e-05
0.06,10,20.833336,6.6,0.0,6.999372,-0.00029420457,1.5438418e-05,-7.485650712624192e-07,-1.4208286302164197e-05,6.918182862136746e-06
0.06,10,21.0,6.6,0.0,6.999384,-0.0002863822,1.4970778e-05,6.102942279540002e-06,1.300731673836708e-05,-2.6006277948908973e-06
0.06,10,21.166664,6.6,0.0,6.9993954,-0.0002785139,1.45385275e-05,-3.873342939186841e-05,-2.2692489437758923e-05,-2.3324530047830194e-05
0.06,10,21.333332,6.6,0.0,6.999407,-0.00027130367,1.42938225e-05,4.433095455169678e-06,1.2228498235344887e-05,-8.27054509500158e-06
0.06,10,21.5,6.6,0.0,6.999419,-0.000265094,8.899253e-06,7.637019734829664e-06,-9.18807927519083e-08,-6.37817038295907e-06
0.06,10,21.666668,6.6,0.0,6.9994297,-0.0002578898,8.539413e-06,-3.2518000807613134e-06,1.1761236237362027e-05,-2.3409074856317602e-07
0.06,10,21.833332,6.6,0.0,6.9994407,-0.0002512242,8.272822e-06,1.7587663023732603e-05,6.554590072482824e-06,-9.808912182052154e-06
0.06,10,22.0,6.6,0.0,6.9994507,-0.0002447625,8.01729e-06,-2.084289735648781e-05,-7.96647509559989e-06,9.342691100755474e-06
0.06,10,22.166668,6.6,0.0,6.9994607,-0.00023850633,7.774448e-06,2.0388688426464796e-07,2.1380226826295257e-05,2.1704768187191803e-06
0.06,10,22.333336,6.6,0.0,6.9994707,-0.00023243837,7.535331e-06,-1.4044861018192023e-05,-1.1042255209758878e-05,1.857306619967858e-05
0.06,10,22.5,6.6,0.0,6.9994802,-0.00022655689,7.3112315e-06,1.905513636302203e-05,1.6136851627379656e-05,-4.662900209950749e-06
0.06,10,22.666664,6.6,0.0,6.99949,-0.00022086762,7.0943497e-06,-2.5915331207215786e-05,1.9544619135558605e-05,-3.32063655150705e-06
0.06,10,22.833332,6.6,0.0,6.999499,-0.00021534557,6.8725785e-06,2.601982851047069e-05,2.593820681795478e-06,-6.997896434768336e-06
0.06,10,23.0,6.6,0.0,6.9995074,-0.00020997957,6.6676876e-06,4.1570456232875586e-07,-7.902970537543297e-06,-1.0456519930812647e-05
0.06,10,23.166668,6.6,0.0,6.9995165,-0.00020478654,6.467104e-06,-3.70658963220194e-05,4.039378836750984e-06,3.1548681818094337e-06
0.06,10,23.333332,6.6,0.0,6.999525,-0.00019974308,6.2783947e-06,-1.1290176189504564e-05,1.738630817271769e-05,-4.4062885535822716e-06
0.06,10,23.5,6.6,0.0,6.999533,-0.00019485112,6.1005703e-06,-7.774920959491283e-06,-1.273387169931084e-05,2.5640065359766595e-07
0.06,10,23.666668,6.6,0.0,6.9995418,-0.0001901086,5.9243757e-06,-1.5428646293003112e-05,8.330971468240023e-06,8.630536513010156e-06
0.06,10,23.833336,6.6,0.0,6.99955,-0.00018550282,5.745096e-06,-1.2158154277130961e-05,4.7132925828918815e-06,-7.835433279979043e-06
0.06,10,24.0,6.6,0.0,6.9995575,-0.00018103316,5.5767596e-06,-9.616480383556336e-06,-1.153204357251525e-05,-1.3255971907710773e-05
0.06,10,24.166664,6.6,0.0,6.9995656,-0.00017669462,5.414535e-06,6.251939339563251e-07,-9.49112290982157e-06,7.945404831843916e-07
0.06,10,24.333332,6.6,0.0,6.9995728,-0.00017247614,5.2599935e-06,-5.484464054461569e-06,-6.88270665705204e-06,-5.716823807233595e-06
0.06,10,24.5,6.6,0.0,6.99958,-0.00016838431,5.1140087e-06,-1.1266107321716845e-05,-9.077048161998391e-07,1.0080387710331706e-05
0.06,10,24.666668,6.6,0.0,6.9995875,-0.0001644101,4.965579e-06,-2.7033311198465526e-06,-1.731804513838142e-05,-7.43124451219046e-06
0.06,10,24.833332,6.6,0.0,6.999594,-0.00016055084,4.8229704e-06,7.109840225894004e-06,-2.5872286641970277e-06,1.823250522647868e-05
0.06,10,25.0,6.6,0.0,6.999601,-0.00015680224,4.6929927e-06,-1.0549199942033738e-05,1.1682583135552704e-05,-1.2506406619650079e-05
0.06,10,25.166668,6.6,0.0,6.9996076,-0.00015315742,4.557427e-06,1.3603807019535452e-05,1.6066042007878423e-05,9.622043990020757e-06
0.06,10,25.333336,6.6,0.0,6.9996142,-0.00014961476,4.4336193e-06,-7.871036359574646e-06,-2.704065991565585e-06,4.509554401010973e-06
0.06,10,25.5,6.6,0.0,6.9996204,-0.00014616986,4.315516e-06,-3.485168417682871e-05,1.6057761968113482e-05,8.608553116573603e-06
0.06,10,25.666664,6.6,0.0,6.999627,-0.00014282852,4.1925814e-06,1.073029125109315e-06,1.9531493308022618e-05,6.028533789503854e-06
0.06,10,25.833332,6.6,0.0,6.999633,-0.00013957862,4.079833e-06,7.180751708801836e-06,1.0078874765895307e-05,2.357349785597762e-06
0.06,10,26.0,6.6,0.0,6.9996395,-0.00013641645,3.9641163e-06,2.201988536398858e-06,6.21264916844666e-06,-1.379283730784664e-06
0.06,10,26.166668,6.6,0.0,6.999645,-0.00013333638,3.8587605e-06,-3.056229616049677e-06,2.532469807192683e-07,5.158924523129826e-07
0.06,10,26.333332,6.6,0.0,6.999651,-0.00013034938,3.7564896e-06,2.3659304133616388e-06,-1.7400612705387175e-05,2.9419663860608125e-07
0.06,10,26.5,6.6,0.0,6.9996567,-0.00012744057,3.6564306e-06,-2.4530250811949372e-05,-1.6448655514977872e-05,-1.269687277272169e-05
0.06,10,26.666668,6.6,0.0,6.999662,-0.00012460767,3.5546836e-06,-1.7909864254761487e-05,-4.047687980346382e-06,-5.213144845583884e-06
0.06,10,26.833336,6.6,0.0,6.9996676,-0.00012185435,3.4622499e-06,-1.4136094250716269e-05,-1.411550329066813e-06,-3.7102114447407075e-06
0.06,10,27.0,6.6,0.0,6.9996724,-0.00011917751,3.3671386e-06,-9.2562404461205e-06,-1.2466451153159142e-05,-8.165996973730216e-06
0.06,10,27.166664,6.6,0.0,6.999678,-0.00011656858,3.2833777e-06,-6.084090273361653e-06,-8.397211786359549e-06,2.9198664606155944e-06
0.06,10,27.333332,6.6,0.0,6.9996834,-0.0001140319,3.196532e-06,-1.823689672164619e-06,-1.2338714441284537e-05,-2.845460812750389e-06
0.06,10,27.5,6.6,0.0,6.999688,-0.00011156081,3.114401e-06,-5.815723852720112e-06,7.667229510843754e-06,-4.2506053432589397e-07
0.06,10,27.666668,6.6,0.0,6.999693,-0.00010915608,3.0319206e-06,-1.4675038983114064e-05,-9.844196029007435e-06,-2.7631160719465697e-06
0.06,10,27.833332,6.6,0.0,6.9996977,-0.00010681261,2.9579387e-06,1.3967925042379647e-05,4.454326699487865e-06,-2.830966536748747e-06
0.06,10,28.0,6.6,0.0,6.9997025,-0.00010453491,2.8723734e-06,3.5863449738826603e-06,-8.195522241294384e-06,9.390388072461064e-06
0.06,10,28.166668,6.6,0.0,6.999707,-0.00010230966,2.8110808e-06,-1.2674172467086464e-06,1.2453252566047013e-05,2.9927509785920847e-06
0.06,10,28.333336,6.6,0.0,6.9997115,-0.000100147285,2.737972e-06,4.6905261115171015e-06,-6.502916221506894e-06,-1.8768479321806808e-06
0.06,10,28.5,6.6,0.0,6.999716,-9.8036195e-05,2.6639027e-06,-6.6308784880675375e-06,1.133573823608458e-05,3.77460071376845e-06
0.06,10,28.666664,6.6,0.0,6.99972,-9.598409e-05,2.5971676e-06,-6.526301149278879e-06,6.9481757236644626e-06,-2.906608528974175e-06
0.06,10,28.833332,6.6,0.0,6.9997244,-9.398344e-05,2.5354966e-06,-1.673497899901122e-05,-7.614638889208436e-06,-3.4322912370043923e-06
0.06,10,29.0,6.6,0.0,6.9997287,-9.203101e-05,2.469751e-06,8.123970474116504e-07,-7.77303648646921e-06,-1.3038181919000635e-05
0.06,10,29.166668,6.6,0.0,6.999733,-9.012969e-05,2.4079636e-06,-1.8386963347438723e-06,2.5892804842442274e-06,-3.02075397939916e-06
0.06,10,29.333332,6.6,0.0,6.999737,-8.82804e-05,2.3484172e-06,-4.605368303600699e-06,-2.8507638489827514e-06,-7.3442682833047e-06
0.06,10,29.5,6.6,0.0,6.9997406,-8.646934e-05,2.2897439e-06,-5.73993384023197e-06,4.110377631150186e-06,7.65005631819804e-06
0.06,10,29.666668,6.6,0.0,6.999745,-8.470871e-05,2.235669e-06,9.383467840962112e-06,8.019429515115917e-06,1.3840111705576419e-06
0.06,10,29.833336,6.6,0.0,6.9997487,-8.299511e-05,2.1836895e-06,-1.613922358956188e-05,4.905290552414954e-06,-8.985509566628025e-06
0.06,10,30.0,6.6,0.0,6.9997525,-8.1316146e-05,2.1308078e-06,5.517576937563717e-07,-7.544462278019637e-06,1.206731553793361e-06
0.06,10,30.166664,6.6,0.0,6.999756,-7.9682846e-05,2.0777516e-06,-7.684950105613098e-06,2.3218599380925298e-06,-1.259215878235409e-07
0.06,10,30.333332,6.6,0.0,6.999759,-7.809035e-05,2.0292937e-06,-5.246871296549216e-06,1.9818689906969666e-06,8.625888199276233e-06
0.06,10,30.5,6.6,0.0,6.999763,-7.6536344e-05,1.9815634e-06,-1.51896892930381e-06,4.969959263689816e-06,4.642868134396849e-08
0.06,10,30.666668,6.6,0.0,6.9997663,-7.501969e-05,1.9312138e-06,-1.88737794815097e-05,-3.861263394355774e-06,2.577399527581292e-06
0.06,10,30.833332,6.6,0.0,6.9997697,-7.354003e-05,1.8856372e-06,-2.5223343982361257e-06,3.036147973034531e-06,5.021104698244017e-06
0.06,10,31.0,6.6,0.0,6.9997735,-7.209767e-05,1.8398277e-06,4.86300268676132e-06,6.672838935628533e-06,-8.07655760581838e-06
0.06,10,31.166668,6.6,0.0,6.9997764,-7.068706e-05,1.8000428e-06,-1.2202144716866314e-07,1.2506883649621159e-05,-4.192126652924344e-06
0.06,10,31.333336,6.6,0.0,6.9997797,-6.931019e-05,1.7588609e-06,-7.544782420154661e-06,3.2654497772455215e-07,-4.14940518567164e-06
0.06,10,31.5,6.6,0.0,6.9997826,-6.796769e-05,1.7184357e-06,1.0510739230085164e-06,-5.900154064875096e-06,-1.2035123404530168e-06
0.06,10,31.666664,6.6,0.0,6.9997854,-6.665746e-05,1.6768463e-06,-1.792945113265887e-06,-3.2039679354056716e-06,1.1303018936814624e-05
