time,step,surface,force_density,force_units,moment_units,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.12,6,wing_0,1.0,N,N*m,1.3429999364042797,0.021488552514071096,0.167874992050535,0.0026860690642588874,4,-0.10727921479320894,0.0,-0.10727921479320894,0.021488552514071096,-0.04836889487872387,1.3429999364042797,-0.3575973826440298,-0.280653470839366,-0.025044024568948546,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0018811059584868952,-0.05223036806923
0.12,6,wing_1,1.0,N,N*m,1.1898627402064772,0.027837018004417322,0.14873284252580968,0.0034796272505521657,4,-0.10454739509593819,0.0,-0.10454739509593819,0.027837018004417322,-0.04285357299066364,1.1898627402064772,-0.34849131698646063,-2.1275442181185094,-0.08530236043736539,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0035177277170934944,0.09767244242791653
0.14,7,wing_0,1.0,N,N*m,1.3414186452280175,0.021883927993268246,0.1676773306535022,0.0027354909991585312,4,-0.10724400332161502,0.0,-0.10724400332161502,0.021883927993268246,-0.056372734166028275,1.3414186452280175,-0.3574800110720501,-0.2824133451244695,-0.026648126212872623,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.002194452426806715,-0.052218141357393964
0.14,7,wing_1,1.0,N,N*m,1.1803407376001807,0.02800072367027533,0.1475425922000226,0.0035000904587844167,4,-0.10439454233620686,0.0,-0.10439454233620686,0.02800072367027533,-0.04960348125678413,1.1803407376001807,-0.3479818077873562,-2.110020550389689,-0.09703425700126073,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.004103695536550462,0.09764957808956254
0.16,8,wing_0,1.0,N,N*m,1.340181095475097,0.022280759158162727,0.16752263693438715,0.0027850948947703413,4,-0.10721384620176776,0.0,-0.10721384620176776,0.022280759158162727,-0.0643781425923371,1.340181095475097,-0.35737948733922587,-0.2842902641829266,-0.02829038248878124,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.002507719895076172,-0.05220403479810861
0.16,8,wing_1,1.0,N,N*m,1.1708822797567695,0.028162799865534507,0.14636028496959622,0.003520349983191814,4,-0.10424227977475711,0.0,-0.10424227977475711,0.028162799865534507,-0.05624555264921114,1.1708822797567695,-0.34747426591585706,-2.0926510619222194,-0.10857143360602559,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.004689515623411329,0.09762319837694347
0.18,9,wing_0,1.0,N,N*m,1.3392685432028542,0.02267838117659167,0.1674085679003568,0.002834797647073959,4,-0.107188593014178,0.0,-0.107188593014178,0.02267838117659167,-0.07239087894984207,1.3392685432028542,-0.35729531004726,-0.2862709753828239,-0.02997209227447235,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0028208970857002695,-0.05218804889920855
0.18,9,wing_1,1.0,N,N*m,1.1614812565337742,0.02832220545735642,0.1451851570667218,0.003540275682169553,4,-0.10409050263011044,0.0,-0.10409050263011044,0.02832220545735642,-0.06278102287325323,1.1614812565337742,-0.34696834210036814,-2.0754204447316917,-0.11991671503515858,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.005275166888216166,0.09759330423972612
0.2,10,wing_0,1.0,N,N*m,1.3386606349759962,0.023076024639163643,0.16733257937199955,0.0028845030798954558,4,-0.10716806784335837,0.0,-0.10716806784335837,0.023076024639163643,-0.08041616065914839,1.3386606349759962,-0.3572268928111946,-0.28834168794875775,-0.03169419141772624,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0031339727243339115,-0.052170184236184435
0.2,10,wing_1,1.0,N,N*m,1.1521323181361691,0.02847793925777857,0.14401653976702117,0.0035597424072223217,4,-0.10393911779380273,0.0,-0.10393911779380273,0.02847793925777857,-0.06921101224246914,1.1521323181361691,-0.34646372597934244,-2.058315267590296,-0.1310726544144487,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.00586062824758274,0.09755989675409621
