run,time,step,x,radius,vorticity,n_peaks,raw_n_peaks,bridge_ratio,core
baseline,4.2,1120,5.819992542266846,0.9199999570846558,0.33482261657714846,2,2,0.01826553407564447,1
baseline,4.2,1120,4.999993324279785,1.1399999856948853,0.34816696166992195,2,2,0.01826553407564447,2
baseline,4.35,1160,5.979992389678955,1.0,0.33679931640625005,2,3,0.008286155919971446,1
baseline,4.35,1160,5.2199931144714355,1.059999942779541,0.3194514465332032,2,3,0.008286155919971446,2
baseline,4.5,1200,6.1399922370910645,1.0399999618530273,0.3365255737304688,2,3,0.0035225777739877166,1
baseline,4.5,1200,5.259993076324463,1.059999942779541,0.30584793090820317,2,3,0.0035225777739877166,2
baseline,4.65,1240,6.299992084503174,1.0799999237060547,0.3408309936523438,2,3,0.020871582500788615,1
baseline,4.65,1240,5.559992790222168,0.9799999594688416,0.2838736343383789,2,3,0.020871582500788615,2
baseline,4.8,1280,6.419991970062256,1.1399999856948853,0.34660453796386725,2,3,0.05305510410739193,1
baseline,4.8,1280,5.639992713928223,0.9399999976158142,0.2767453956604004,2,3,0.05305510410739193,2
baseline,4.95,1320,6.539991855621338,1.1999999284744263,0.3437233352661133,2,2,0.07472849185829958,1
baseline,4.95,1320,5.859992504119873,0.8199999928474426,0.25209453582763675,2,2,0.07472849185829958,2
baseline,5.1,1360,6.619991779327393,1.2400000095367432,0.3480448150634766,2,2,0.1079802217267141,1
baseline,5.1,1360,6.1999921798706055,0.7799999713897705,0.23929613113403322,2,2,0.1079802217267141,2
baseline,5.25,1400,6.679991722106934,1.2599999904632568,0.34348060607910164,2,3,0.1763839772544367,1
baseline,5.25,1400,6.559991836547852,0.7799999713897705,0.22122379302978518,2,3,0.1763839772544367,2
baseline,5.4,1440,6.739991664886475,1.2400000095367432,0.3281868362426758,2,2,0.2938590260833731,1
baseline,5.4,1440,6.87999153137207,0.7400000095367432,0.2122451210021973,2,2,0.2938590260833731,2
baseline,5.55,1480,6.839991569519043,1.1999999284744263,0.3125023651123047,2,2,0.349436079498186,1
baseline,5.55,1480,7.219991207122803,0.7999999523162842,0.2211429595947266,2,2,0.349436079498186,2
baseline,5.7,1520,6.959991455078125,1.1200000047683716,0.28596260070800783,2,4,0.36363876144828644,1
baseline,5.7,1520,7.4799909591674805,0.8799999952316284,0.24089599609375004,2,4,0.36363876144828644,2
