flow_time,time_step,group_id,x_centroid,y_centroid,z_centroid,major_radius,tube_circulation,impulse_x,impulse_norm,impulse_radius,length_strength,vector_circulation_x,vector_circulation_y,vector_circulation_z,max_strength
2.1,105,0,1.813535325728825,0.003619001394023156,-0.007963163282654851,1.0054232886201029,3.223587893583741,9.884816709543841,9.884862526354807,0.9708056705169453,20.36424554687903,-4.1906555334106366e-05,8.384752137047258e-06,0.00023653466080597596,0.014582155021354981
2.2,110,0,1.8955033296662354,0.0032022712718314675,-0.0077261417593209964,1.0053267886740251,3.224156479047664,9.885156710752929,9.885201290873098,0.9707609050133763,20.365882556296164,-4.266467484454091e-05,8.770661888313214e-06,0.00023645716649611792,0.015007072186982091
2.3,115,0,1.977455289916725,0.002874107099111822,-0.007700227890052688,1.0052841861574653,3.2251960402190476,9.885315063337233,9.885366010648966,0.9705053022783322,20.3715857861721,-4.326338361237969e-05,9.128823579729328e-06,0.00023631792512368577,0.013851052446123845
2.4,120,0,2.0591003190870607,0.002389681311520617,-0.0076964442902349535,1.0054227269671308,3.2242117824653813,9.885576491132113,9.88562896913509,0.9706936195099549,20.368175437530436,-4.37076176303397e-05,8.993235522503085e-06,0.00023637109308261017,0.013867715426207006
2.5,125,0,2.140336108453712,0.0019121238108834808,-0.007472476728329709,1.0055697440490619,3.2228643809767843,9.885712310105571,9.885770185592289,0.970971335709874,20.362640630096116,-4.434393388319524e-05,8.65934707583449e-06,0.0002360656109070547,0.014834393223557186
2.6,130,0,2.2212497871450823,0.0015525733474425277,-0.007289086513654156,1.0055150150792278,3.2234318482440427,9.885993449427188,9.886053471034693,0.9708810617500949,20.365117542233747,-4.5172178901764504e-05,8.265254099804054e-06,0.00023597781168105403,0.014898328207159786
2.7,135,0,2.3020641408435094,0.0009763426586054893,-0.007288618746446551,1.0054113692964406,3.224098628267564,9.885955501805498,9.886017163561775,0.9707767727195773,20.367230534094148,-4.584743769914246e-05,7.849363167444778e-06,0.0002357034255058288,0.013769273913268775
2.8,140,0,2.3826928522725677,0.0004527623431725831,-0.007231447750040891,1.0054979387599734,3.2235902104848693,9.886246051312472,9.88631056184417,0.9708751011572367,20.36577217823417,-4.642165523716102e-05,7.341514181469222e-06,0.00023558009069635233,0.013744113638892483
2.9,145,0,2.4630517136210646,0.00012350462418534344,-0.007115292949195052,1.005603208062713,3.2232365639145195,9.886662826290825,9.886727087730254,0.9709208831686647,20.365669868927455,-4.69909793839457e-05,7.085905798120962e-06,0.0002356242118841667,0.014633675249692621
3.0,150,0,2.543065800374868,-0.0003260684719559245,-0.007157807142238535,1.0057064025666962,3.222912505033553,9.887017074287266,9.887087728895107,0.970954289055554,20.365712042968088,-4.766527606514526e-05,6.7216632064770465e-06,0.00023576713390593973,0.01495998640936004
3.1,155,0,2.6228509633670645,-0.0007932303671316261,-0.006983080343877996,1.0057341250170106,3.2226036743181448,9.887214069425953,9.887289367422266,0.9710403749849943,20.364321859582937,-4.821077872774193e-05,6.2457178726660345e-06,0.0002359040463195683,0.013926719602658694
3.2,160,0,2.702463671372748,-0.0012503152181385566,-0.006750215224958847,1.0056561816277905,3.223091383275232,9.887061792664598,9.887133359482904,0.9709533684777749,20.36582534336039,-4.882808418538165e-05,6.0063161129164655e-06,0.00023598045861628059,0.0134501409538881
3.3,165,0,2.7819585929286763,-0.001830091765518796,-0.006658341346654598,1.0056269372862228,3.223371454112596,9.887222364948535,9.887296350778229,0.97091324370582,20.367002746898386,-4.9198398047511915e-05,5.961140023380551e-06,0.00023589788587186078,0.014232044943336167
3.4,170,0,2.8612359654526167,-0.002218420344128154,-0.006596406431249926,1.0056930899801741,3.222942129371286,9.887362901587585,9.887446430912867,0.9709934431661964,20.365629655895667,-4.962693577753585e-05,6.131201417680643e-06,0.00023595605890514015,0.014989841987906406
3.5,175,0,2.94023174423225,-0.0027619738153645866,-0.006536135747381613,1.0058487869759793,3.2219173130512737,9.88759359652934,9.88767920505652,0.9711748071568047,20.36230580157557,-5.01088561362939e-05,6.406398389557921e-06,0.00023613056657534326,0.014468518712589461
