time,step,particle,particle_index,provenance,event_type,event_name,process,surface,panel,interval_start,interval_end,start_x,start_y,start_z,end_x,end_y,end_z,crossing_x,crossing_y,crossing_z,core_radius,closest_distance,surface_tolerance
0.02,2,216,216,active_particle_index,3,core_overlap,advective_transport,rear_wing,29,0.01,0.010344827586206896,1.1795084476470947,0.22499817609786987,-0.07863429933786392,1.2193745374679565,0.22498232126235962,-0.07956624776124954,1.1795084476470947,0.22499817609786987,-0.07863429933786392,0.28463247418403625,0.019773610959305802,0.001996728284361581
0.02,2,217,217,active_particle_index,3,core_overlap,advective_transport,rear_wing,32,0.01,0.010344827586206896,1.1908512115478516,0.2812470495700836,-0.07741814851760864,1.2307429313659668,0.2812248170375824,-0.07811523973941803,1.1908512115478516,0.2812470495700836,-0.07741814851760864,0.28463247418403625,0.03954791507986924,0.001996728284361581
0.02,2,218,218,active_particle_index,3,core_overlap,advective_transport,rear_wing,32,0.01,0.010344827586206896,1.1621793508529663,0.33749887347221375,-0.07619889080524445,1.2020883560180664,0.33747854828834534,-0.07679471373558044,1.1621793508529663,0.33749887347221375,-0.07619889080524445,0.2846323847770691,0.01977430404811516,0.001996728284361581
0.02,2,219,219,active_particle_index,3,core_overlap,advective_transport,rear_wing,35,0.01,0.010344827586206896,1.1448501348495483,0.4499996602535248,-0.07376345247030258,1.1848093271255493,0.4499782621860504,-0.07397399097681046,1.1448501348495483,0.4499996602535248,-0.07376345247030258,0.2846323847770691,0.019774897372109697,0.001996728284361581
0.02,2,220,220,active_particle_index,3,core_overlap,advective_transport,rear_wing,35,0.01,0.010344827586206896,1.173522710800171,0.39374852180480957,-0.07498283684253693,1.2134599685668945,0.3937229514122009,-0.07533913850784302,1.173522710800171,0.39374852180480957,-0.07498283684253693,0.2846323847770691,0.03954931683940469,0.001996728284361581
0.02,2,221,221,active_particle_index,3,core_overlap,advective_transport,rear_wing,38,0.01,0.010344827586206896,1.22550630569458,-0.05625568702816963,-0.08228841423988342,1.2653594017028809,-0.05625734478235245,-0.08327627182006836,1.22550630569458,-0.05625568702816963,-0.08228841423988342,0.2846324145793915,0.03954499062535076,0.001996728284361581
0.02,2,222,222,active_particle_index,3,core_overlap,advective_transport,rear_wing,38,0.01,0.010344827586206896,1.196835994720459,-0.1125030368566513,-0.0810694471001625,1.2366782426834106,-0.11250319331884384,-0.08217819035053253,1.196835994720459,-0.1125030368566513,-0.0810694471001625,0.2846324145793915,0.019772230662950682,0.001996728284361581
0.02,2,223,223,active_particle_index,3,core_overlap,advective_transport,rear_wing,41,0.01,0.010344827586206896,1.2081754207611084,-0.16875633597373962,-0.07985268533229828,1.2480329275131226,-0.16875046491622925,-0.08078081905841827,1.2081754207611084,-0.16875633597373962,-0.07985268533229828,0.2846324145793915,0.03954391228148386,0.001996728284361581
0.02,2,224,224,active_particle_index,3,core_overlap,advective_transport,rear_wing,41,0.01,0.010344827586206896,1.179505705833435,-0.22500330209732056,-0.07863381505012512,1.2193665504455566,-0.2249973565340042,-0.07956483960151672,1.179505705833435,-0.22500330209732056,-0.07863381505012512,0.28463247418403625,0.019771682716281266,0.001996728284361581
0.02,2,225,225,active_particle_index,3,core_overlap,advective_transport,rear_wing,44,0.01,0.010344827586206896,1.1908445358276367,-0.2812567353248596,-0.07741694152355194,1.2307301759719849,-0.28124359250068665,-0.07811295241117477,1.1908445358276367,-0.2812567353248596,-0.07741694152355194,0.28463247418403625,0.039542794991726124,0.001996728284361581
