run,time,step,x,radius,vorticity,n_peaks,raw_n_peaks,cluster_n_peaks,cluster_x_span,cluster_radius_span,strongest_peak_pair_bridge_ratio,peak_rank,ring
baseline,1.35,360,1.9799962043762207,0.699999988079071,0.39468513488769535,2,2,1,"[1.9799962043762207, 1.9799962043762207]","[0.699999988079071, 0.699999988079071]",0.07249827344631744,1,2
baseline,1.5,400,1.6999964714050293,1.2200000286102295,0.5082240295410156,2,2,1,"[1.6999964714050293, 1.6999964714050293]","[1.2200000286102295, 1.2200000286102295]",0.051196170210709255,0,1
baseline,1.5,400,2.279995918273926,0.7599999904632568,0.3979640197753907,2,2,1,"[2.279995918273926, 2.279995918273926]","[0.7599999904632568, 0.7599999904632568]",0.051196170210709255,1,2
baseline,1.65,440,1.8199963569641113,1.1799999475479126,0.4563375854492188,2,2,1,"[1.8199963569641113, 1.8199963569641113]","[1.1799999475479126, 1.1799999475479126]",0.024696837617832788,0,1
baseline,1.65,440,2.5399956703186035,0.7999999523162842,0.40438915252685553,2,2,1,"[2.5399956703186035, 2.5399956703186035]","[0.7999999523162842, 0.7999999523162842]",0.024696837617832788,1,2
baseline,1.8,480,1.959996223449707,1.1399999856948853,0.4178153228759766,2,2,1,"[1.959996223449707, 1.959996223449707]","[1.1399999856948853, 1.1399999856948853]",0.012951565779668257,0,1
baseline,1.8,480,2.759995460510254,0.85999995470047,0.40855487823486336,2,2,1,"[2.759995460510254, 2.759995460510254]","[0.85999995470047, 0.85999995470047]",0.012951565779668257,1,2
baseline,1.95,520,2.079996109008789,1.100000023841858,0.3993411254882813,2,2,1,"[2.079996109008789, 2.079996109008789]","[1.100000023841858, 1.100000023841858]",0.008159494427324599,1,1
baseline,1.95,520,2.9799952507019043,0.9199999570846558,0.4046412658691407,2,2,1,"[2.9799952507019043, 2.9799952507019043]","[0.9199999570846558, 0.9199999570846558]",0.008159494427324599,0,2
baseline,2.1,560,2.2399959564208984,1.0399999618530273,0.3641850280761719,2,2,1,"[2.2399959564208984, 2.2399959564208984]","[1.0399999618530273, 1.0399999618530273]",0.011014209804785872,1,1
baseline,2.1,560,3.1399950981140137,0.9799999594688416,0.41049720764160164,2,2,1,"[3.1399950981140137, 3.1399950981140137]","[0.9799999594688416, 0.9799999594688416]",0.011014209804785872,0,2
baseline,2.25,600,2.399995803833008,1.0199999809265137,0.34063472747802737,2,2,1,"[2.399995803833008, 2.399995803833008]","[1.0199999809265137, 1.0199999809265137]",0.019536511923439432,1,1
baseline,2.25,600,3.299994945526123,1.0399999618530273,0.4091348266601563,2,2,1,"[3.299994945526123, 3.299994945526123]","[1.0399999618530273, 1.0399999618530273]",0.019536511923439432,0,2
baseline,2.4,640,2.559995651245117,0.9599999785423279,0.3179373931884766,2,2,1,"[2.559995651245117, 2.559995651245117]","[0.9599999785423279, 0.9599999785423279]",0.02634619598598985,1,1
baseline,2.4,640,3.4599947929382324,1.0799999237060547,0.40726139068603523,2,2,1,"[3.4599947929382324, 3.4599947929382324]","[1.0799999237060547, 1.0799999237060547]",0.02634619598598985,0,2
baseline,2.55,680,2.7399954795837402,0.8999999761581421,0.2933930587768555,2,2,1,"[2.7399954795837402, 2.7399954795837402]","[0.8999999761581421, 0.8999999761581421]",0.0354436219591734,1,1
baseline,2.55,680,3.599994659423828,1.1200000047683716,0.38999885559082037,2,2,1,"[3.599994659423828, 3.599994659423828]","[1.1200000047683716, 1.1200000047683716]",0.0354436219591734,0,2
baseline,2.7,720,2.939995288848877,0.8399999737739563,0.2597283935546875,2,2,1,"[2.939995288848877, 2.939995288848877]","[0.8399999737739563, 0.8399999737739563]",0.03919374146297856,1,1
baseline,2.7,720,3.6999945640563965,1.1799999475479126,0.38024940490722664,2,2,1,"[3.6999945640563965, 3.6999945640563965]","[1.1799999475479126, 1.1799999475479126]",0.03919374146297856,0,2
baseline,2.85,760,3.179995059967041,0.7999999523162842,0.23531970977783206,2,2,1,"[3.179995059967041, 3.179995059967041]","[0.7999999523162842, 0.7999999523162842]",0.052114421557449934,1,1
baseline,2.85,760,3.839994430541992,1.2200000286102295,0.3775453186035157,2,2,1,"[3.839994430541992, 3.839994430541992]","[1.2200000286102295, 1.2200000286102295]",0.052114421557449934,0,2
baseline,3.0,800,3.4399948120117188,0.7199999690055847,0.20840501785278323,2,2,1,"[3.4399948120117188, 3.4399948120117188]","[0.7199999690055847, 0.7199999690055847]",0.09636347358533287,1,1
baseline,3.0,800,3.9399943351745605,1.2599999904632568,0.38198814392089847,2,2,1,"[3.9399943351745605, 3.9399943351745605]","[1.2599999904632568, 1.2599999904632568]",0.09636347358533287,0,2
baseline,3.15,840,3.799994468688965,0.6800000071525574,0.18929485321044925,2,2,1,"[3.799994468688965, 3.799994468688965]","[0.6800000071525574, 0.6800000071525574]",0.14725326020013832,1,1
baseline,3.15,840,3.9999942779541016,1.2799999713897705,0.3722482299804688,2,2,1,"[3.9999942779541016, 3.9999942779541016]","[1.2799999713897705, 1.2799999713897705]",0.14725326020013832,0,2
baseline,3.3,880,4.179994106292725,0.6800000071525574,0.17902788162231448,2,2,1,"[4.179994106292725, 4.179994106292725]","[0.6800000071525574, 0.6800000071525574]",0.2572297640239799,1,1
baseline,3.3,880,4.079994201660156,1.2599999904632568,0.3561323165893555,2,2,1,"[4.079994201660156, 4.079994201660156]","[1.2599999904632568, 1.2599999904632568]",0.2572297640239799,0,2
baseline,3.45,920,4.519993782043457,0.7400000095367432,0.18584325790405276,2,3,2,"[4.159994125366211, 4.519993782043457]","[0.35999998450279236, 0.7400000095367432]",0.2808094266225444,1,1
baseline,3.45,920,4.159994125366211,1.2400000095367432,0.3363040161132813,2,3,1,"[4.159994125366211, 4.159994125366211]","[1.2400000095367432, 1.2400000095367432]",0.2808094266225444,0,2
baseline,3.6,960,4.819993495941162,0.8199999928474426,0.19273525238037112,2,2,1,"[4.819993495941162, 4.819993495941162]","[0.8199999928474426, 0.8199999928474426]",0.2742981266588569,1,1
baseline,3.6,960,4.279994010925293,1.1799999475479126,0.30234325408935553,2,2,1,"[4.279994010925293, 4.279994010925293]","[1.1799999475479126, 1.1799999475479126]",0.2742981266588569,0,2
