time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.6875,55,-0.16689242553710937,0.0010422415733337402,0.0,0.5211208,0.0,-83.44621,-1.5250166965685708e-05,-21.304427791597405,-3.703716628111753e-07,-83.44621276855469,0.5211207866668701,50.0,10.0,-3.0500333931371417e-09,-0.04260885558319481,-7.407433256223505e-11,-9.5367431640625e-10,-0.0009022536277770996,-5.364418029785156e-11,-8.345504760742188,8.343124912984015,0.0,3080,-5.211207866668701,0.0,-5.211207866668701
0.75,60,-0.16768101501464844,0.0010309839248657227,0.0,0.51549196,0.0,-83.84051,-7.863010473840859e-07,-21.38851809565751,-5.789132444256051e-07,-83.84050750732422,0.5154919624328613,50.0,10.0,-1.572602094768172e-10,-0.04277703619131502,-1.1578264888512102e-10,-7.390975952148437e-10,-0.0008735747933387756,-1.1250376701354981e-10,-8.384916305541992,8.38222532357863,0.0,3360,-5.154919624328613,0.0,-5.154919624328613
0.8125,65,-0.16831385803222657,0.0010216693878173828,0.0,0.5108347,0.0,-84.15693,1.1415908848455558e-05,-21.45661609709804,3.4252604266815645e-07,-84.15692901611328,0.5108346939086914,50.0,10.0,2.2831817696911115e-09,-0.04291323219419608,6.850520853363129e-11,-3.400444984436035e-09,-0.000851741075515747,5.774199962615967e-11,-8.416529655456543,8.413539342962878,0.0,3640,-5.108346939086914,0.0,-5.108346939086914
0.875,70,-0.16882601928710939,0.0010137113332748414,0.0,0.50685567,0.0,-84.41301,2.1053205823129417e-05,-21.511992663857605,3.695890750665676e-07,-84.41300964355469,0.5068556666374207,50.0,10.0,4.2106411646258835e-09,-0.04302398532771521,7.391781501331351e-11,6.3747167587280275e-09,-0.0008338706493377686,4.7311186790466307e-11,-8.442118644714355,8.4388242034448,0.0,3920,-5.0685566663742065,0.0,-5.0685566663742065
0.9375,75,-0.16924972534179689,0.001007319688796997,0.0,0.50365984,0.0,-84.62486,-3.4477963293255698e-06,-21.558191376943068,9.556757094575374e-07,-84.62486267089844,0.5036598443984985,50.0,10.0,-6.89559265865114e-10,-0.043116382753886136,1.9113514189150748e-10,-6.628036499023437e-09,-0.0008209652304649353,2.0042061805725098e-10,-8.46328067779541,8.45968185767285,0.0,4200,-5.036598443984985,0.0,-5.036598443984985
1.0,80,-0.16959817504882813,0.0010016554594039918,0.0,0.5008277,0.0,-84.79909,-4.033927612212551e-05,-21.59663905740618,4.5933673747944326e-07,-84.79908752441406,0.5008277297019958,50.0,10.0,-8.067855224425102e-09,-0.043193278114812356,9.186734749588865e-11,3.331899642944336e-09,-0.0008104929327964783,1.0943040251731872e-10,-8.480693817138672,8.476785516972392,0.0,4480,-5.0082772970199585,0.0,-5.0082772970199585
1.0625,85,-0.16989019775390626,0.0009969531893730163,0.0,0.4984766,0.0,-84.9451,-1.847631459384047e-05,-21.62910899373432,4.608358442348415e-07,-84.94509887695312,0.4984765946865082,50.0,10.0,-3.695262918768094e-09,-0.04325821798746864,9.21671688469683e-11,4.211068153381348e-09,-0.0008027013540267944,1.3243407011032104e-10,-8.495281219482422,8.491055799326432,0.0,4760,-4.984765946865082,0.0,-4.984765946865082
1.125,90,-0.17013482666015625,0.0009927648305892945,0.0,0.49638242,0.0,-85.06741,-1.4130307582682633e-05,-21.65636157100891,3.43584271228492e-07,-85.06741333007812,0.4963824152946472,50.0,10.0,-2.8260615165365267e-09,-0.043312723142017825,6.87168542456984e-11,9.268522262573242e-10,-0.0007959805130958557,9.313225746154786e-11,-8.507493019104004,8.502960057450691,0.0,5040,-4.963824152946472,0.0,-4.963824152946472
1.1875,95,-0.1703423767089844,0.0009891779422760009,0.0,0.49458897,0.0,-85.17119,-1.597400512487468e-05,-21.679736044915806,1.7240732508305712e-07,-85.17118835449219,0.4945889711380005,50.0,10.0,-3.194801024974936e-09,-0.04335947208983161,3.448146501661142e-11,-7.456541061401367e-09,-0.0007910614609718322,1.2880191206932068e-10,-8.517868995666504,8.51301759908703,0.0,5320,-4.945889711380005,0.0,-4.945889711380005
1.25,100,-0.17052027893066407,0.0009861195087432861,0.0,0.49305975,0.0,-85.26014,-3.2282430355579095e-06,-21.699792318913577,1.2139834901225832e-07,-85.26013946533203,0.49305975437164307,50.0,10.0,-6.456486071115819e-10,-0.04339958463782716,2.4279669802451666e-11,2.1070241928100586e-09,-0.0007868912816047668,7.236376404762269e-11,-8.52675724029541,8.52159751261363,0.0,5600,-4.930597543716431,0.0,-4.930597543716431
