# time=0.018
position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z
6.666668,0.0,0.0,6.986905,4.314188e-08,-7.208094e-06,0.00034791044890880585,-1.4338504115585238e-05,-0.00014875286001370114
6.833332,0.0,0.0,6.987548,3.4772256e-08,-6.7613537e-06,0.00012084003537893295,-2.096396201523021e-05,2.6938252403851948e-05
7.0,0.0,0.0,6.988154,6.177788e-08,-6.4745727e-06,0.00024418532848358154,-0.0001151819815277122,-0.00016638882652841858
7.166666,0.0,0.0,6.988724,1.1242264e-07,-6.2543586e-06,0.0004325034096837044,0.00013192441110732034,4.209739518046263e-05
7.333334,0.0,0.0,6.9892616,1.1571365e-07,-5.886184e-06,0.0002973908558487892,-7.905069651314989e-05,-8.682369229973119e-05
7.5,0.0,0.0,6.989768,5.0341896e-08,-5.678504e-06,0.00024812016636133194,-8.0587160482537e-05,6.54233670047688e-05
7.666666,0.0,0.0,6.9902453,5.7887974e-08,-5.36076e-06,0.0001880694180727005,3.4837481507565826e-05,-0.00011431899326908024
7.833334,0.0,0.0,6.9906955,1.5211299e-08,-5.2929463e-06,-4.976149648427963e-05,0.0001502464001532644,7.158925825478946e-05
8.0,0.0,0.0,6.9911203,2.7981528e-06,-3.3742012e-06,0.0001265895552933216,-2.251736805192195e-05,-5.7835918823911925e-05
8.166668,0.0,0.0,6.991522,2.4836067e-06,-3.5803314e-06,8.992990478873253e-05,-2.81865504803136e-05,4.0486505668013706e-05
8.333332,0.0,0.0,6.9919004,2.2552967e-06,-1.5431797e-05,-4.6498607844114304e-05,-0.00017091470363084227,-3.326810292492155e-05
8.5,0.0,0.0,6.9922585,1.951696e-06,-1.4780454e-05,0.00018435902893543243,-7.2695547714829445e-06,7.155726461860468e-05
8.666666,0.0,0.0,6.992597,1.7046596e-06,-1.4124071e-05,0.00015714531764388084,4.212053318042308e-05,-1.548081627333886e-05
8.833334,0.0,0.0,6.9929175,1.5275964e-06,-1.3329488e-05,-2.474617213010788e-05,-3.1544950616080314e-06,3.171211869812396e-05
9.0,0.0,0.0,6.9932203,1.3538906e-06,1.4322013e-06,-5.967775359749794e-05,-2.809654688462615e-05,-4.251193217896798e-06
9.166666,0.0,0.0,6.993507,1.1783231e-06,1.2002656e-06,0.00018689874559640884,0.00015792663907632232,3.293218685485044e-05
9.333334,0.0,0.0,6.9937587,2.3911648e-06,-1.1295508e-05,0.00013294490054249763,-6.802754069212824e-05,3.324732131204655e-05
9.5,0.0,0.0,6.994018,2.1689773e-06,-1.0277642e-05,0.00010003335773944855,-4.903881563222967e-05,7.163482393934828e-05
9.666668,0.0,0.0,6.9942636,1.9749696e-06,-9.383746e-06,-5.580112338066101e-05,-3.154322621412575e-05,-1.793194701349421e-05
9.833332,0.0,0.0,6.994497,1.7979362e-06,-8.580802e-06,-2.6843510568141937e-05,0.0001328319194726646,6.181384378578514e-06
10.0,0.0,0.0,6.994718,1.6281192e-06,-7.854105e-06,1.8453458324074745e-05,4.482176882447675e-05,1.0593399224489985e-05
10.166666,0.0,0.0,6.9949284,1.5022226e-06,-7.160324e-06,-8.051865734159946e-05,-4.3232179450569674e-05,3.807074790529441e-05
10.333334,0.0,0.0,6.9951277,1.3905576e-06,-6.5928866e-06,-7.239752449095249e-05,5.9167377912672237e-05,8.038637963636575e-05
10.5,0.0,0.0,6.9953175,1.2664912e-06,-6.0719226e-06,-6.717001087963581e-05,0.00010084653331432492,1.5288330814655637e-06
10.666666,0.0,0.0,6.9954977,1.1637219e-06,-5.5690653e-06,1.2703007087111473e-05,-5.958245310466737e-07,-1.204014557742994e-05
10.833334,0.0,0.0,6.9956694,1.0680412e-06,-5.134921e-06,5.267467349767685e-05,-3.399745764909312e-06,-1.924193753666259e-05
11.0,0.0,0.0,6.995833,9.948646e-07,-4.7366193e-06,2.819858491420746e-05,8.003936818568036e-05,3.710486112140643e-06
11.166668,0.0,0.0,6.9959884,9.2168716e-07,-4.372199e-06,6.577698513865471e-06,-5.048884486313909e-05,-8.600246093237729e-05
11.333332,0.0,0.0,6.9961367,8.5423994e-07,-4.0687305e-06,-7.821014150977135e-06,-3.3781660022214055e-05,5.849830074566853e-05
11.5,0.0,0.0,6.996278,7.638296e-07,-3.7814293e-06,3.699096851050854e-05,-3.5090488381683826e-06,-5.4264766333744774e-05
11.666666,0.0,0.0,6.9964128,7.1774775e-07,-3.4799164e-06,6.376812234520912e-05,-1.7818249034462497e-05,-1.9091629894774087e-05
11.833334,0.0,0.0,6.9965405,6.643372e-07,-3.2447456e-06,3.8480618968605995e-05,-0.0001231553906109184,-4.3286219892024747e-05
12.0,0.0,0.0,6.996663,6.127075e-07,-3.0123924e-06,-7.562083192169666e-05,-1.1920968972845003e-05,1.6455677155136073e-05
12.166666,0.0,0.0,6.9967804,5.7495754e-07,-2.7955616e-06,-2.7692760340869427e-05,0.00012435714597813785,7.629276325360479e-06
12.333332,0.0,0.0,6.9968925,5.242414e-07,-2.6039966e-06,-7.764983456581831e-05,-3.385448144399561e-05,3.5359005039481417e-06
12.5,0.0,0.0,6.996999,5.063109e-07,-2.442313e-06,7.464620284736156e-05,9.794011566555128e-05,1.5663517046959896e-05
12.666668,0.0,0.0,6.9971013,4.571457e-07,-2.277765e-06,2.0793871954083443e-05,-7.079784700181335e-05,2.997725346176594e-05
12.833332,0.0,0.0,6.9971995,4.340793e-07,-2.1026444e-06,-1.8156832084059715e-05,-3.3084106689784676e-06,-3.106018453991055e-05
13.0,0.0,0.0,6.9972925,4.1067005e-07,-1.9793151e-06,4.605634603649378e-05,-2.4437493266304955e-05,-4.218917294451785e-05
13.166668,0.0,0.0,6.997382,3.8286407e-07,-1.8448145e-06,-2.0400737412273884e-05,1.3862998457625508e-05,-1.0939402272924781e-07
13.333334,0.0,0.0,6.997468,3.5430435e-07,-1.7309471e-06,-2.3330794647336006e-06,4.771918611368164e-06,3.2481448442922556e-05
13.5,0.0,0.0,6.99755,3.3171e-07,-1.569143e-06,-2.9615010134875774e-05,9.517018042970449e-06,-3.865514216272459e-05
13.666666,0.0,0.0,6.9976287,3.0476917e-07,-1.4730435e-06,3.0770315788686275e-05,1.9000952306669205e-05,-9.304804279963719e-06
13.833332,0.0,0.0,6.9977045,2.9352464e-07,-1.3804975e-06,-4.819640889763832e-05,1.6959416825557128e-05,-4.089340137625186e-06
