time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total
0.4125,66,17.74738809171841,-17.74738809171841,0.0,1.5548083e-06,-2.7780309e-06,0.13357988,-0.012872167712290947,0.0430981968620602,-9.063181045992635e-05,0.13357987999916077,-0.13357987999916077,0.3920000000000001,0.019200853569933066,-14.251607101630238,35.786004185734086,-0.10034432291858389,-27.84686371906151,39.70735196803771,-0.10007746314588108,5.415931809693575e-07,-1.2672899174503982e-06,0.0,13200
0.45,72,17.92692896545307,-17.92692896545307,0.0,-8.562647e-07,2.3605963e-07,0.13493124,-0.031034360147609547,0.04317862314403484,-8.464740255877638e-05,0.13493123650550842,-0.13493123650550842,0.3920000000000001,0.019200853569933066,-34.36014176943204,35.852785059945575,-0.09371859894967968,-47.80534013054139,31.37105664661734,-0.09379354826700595,-1.4345278032124043e-07,-9.670729923527688e-07,0.0,14400
0.4875,78,17.90496347945618,-17.90496347945618,0.0,-3.7852244e-06,-1.1171815e-06,0.13476591,-0.04348032890389014,0.030139599536040704,-7.933827225839364e-05,0.13476590812206268,-0.13476590812206268,0.3920000000000001,0.019200853569933066,-48.13987651793991,25.026008364228886,-0.08784051836654932,-53.414991823233265,14.739492025216242,-0.08810211877522799,-1.4296092558652163e-06,-1.1542215361259878e-07,0.0,15600
0.525,84,17.919031685269058,-17.919031685269058,0.0,4.161396e-07,1.2241962e-06,0.1348718,-0.04315915745507393,0.01213881179988407,-8.51906293899097e-05,0.13487179577350616,-0.13487179577350616,0.3920000000000001,0.019200853569933066,-47.78428689208229,10.079298010328042,-0.09432004041139894,-41.81102010139106,0.00029380776147436055,-0.09421610090951882,-1.3240196494734846e-08,-1.1280790204182267e-06,0.0,16800
0.5625,90,17.892873058276997,-17.892873058276997,0.0,6.0730727e-06,1.6792048e-06,0.1346749,-0.03011876980897853,-0.00035474053962169404,-8.494193451827427e-05,0.13467490673065186,-0.13467490673065186,0.3920000000000001,0.019200853569933066,-33.34643265191034,-0.29455400364851064,-0.09404469427872277,-19.639728992108385,-4.2480413482056685,-0.09459668247523637,1.7838901840150356e-06,-3.5789707908406854e-06,0.0,18000
0.6,96,18.060836269811585,-18.060836269811585,0.0,2.2215302e-06,1.9623092e-08,0.13593912,-0.012234649350972238,4.623945393511767e-07,-8.013286034922147e-05,0.1359391212463379,-0.1359391212463379,0.3920000000000001,0.019200853569933066,-13.545769405240222,0.00038394304461606175,-0.08872025809114131,-0.00014575162057052656,4.515588454597756,-0.0889424032612614,8.299248293042183e-07,-3.508839199639624e-06,0.0,19200
0.6375,102,18.021088539990984,-18.021088539990984,0.0,1.7521743e-06,2.7419298e-07,0.13563995,0.00035734586995934584,0.013070790736264404,-7.723374172325406e-05,0.135639950633049,-0.135639950633049,0.3920000000000001,0.019200853569933066,0.3956406606781584,10.85315410052755,-0.08551045687336709,5.704970480750918,21.20638601628216,-0.0856067427567108,5.769252311438322e-07,-4.209665348753333e-06,0.0,20400
0.675,108,17.991904832998628,-17.991904832998628,0.0,2.9908995e-07,-3.8716962e-07,0.1354203,5.0898182346786494e-08,0.031146891429992503,-7.941638733355396e-05,0.1354202926158905,-0.1354202926158905,0.3920000000000001,0.019200853569933066,5.6352660500290534e-05,25.862399548959576,-0.087927004604515,-5.997506826866625,35.98239948624425,-0.0878748479637874,-6.308027877821587e-09,-4.858520696870983e-06,0.0,21600
0.7125,114,17.9530183006912,-17.9530183006912,0.0,1.4587156e-06,-2.1833132e-06,0.1351276,-0.013021059398479605,0.043596923241091566,-8.189269053463153e-05,0.13512760400772095,-0.13512760400772095,0.3920000000000001,0.019200853569933066,-14.41645469060578,36.20011488147096,-0.09066867959470092,-28.169227565149164,40.16689561734583,-0.09043457750389161,5.291658453643322e-07,-5.4619667935185134e-06,0.0,22800
0.75,120,18.120470733011075,-18.120470733011075,0.0,-5.002139e-07,2.7589755e-07,0.13638797,-0.03136929307431401,0.04364407128075939,-8.056828896098209e-05,0.13638797402381897,-0.13638797402381897,0.3920000000000001,0.019200853569933066,-34.73096761504571,36.23926361779285,-0.08920234919143791,-48.32131818904826,31.709151449102208,-0.08924002445205119,-1.600128598511219e-07,-4.759869625559077e-06,0.0,24000
