         18189117 function calls (17857163 primitive calls) in 426.536 seconds

   Ordered by: cumulative time
   List reduced from 3078 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      145    0.007    0.000   18.263    0.126 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/induction/treecode/lbvh.py:356(build)
      145    0.080    0.001   18.076    0.125 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/induction/treecode/lbvh.py:821(_build_lbvh)
       80    0.002    0.000   16.849    0.211 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/stage_rhs.py:288(add_stage_rates)
       80    0.004    0.000   16.846    0.211 /Users/flaviomartins/OpenONDA/source/solvers/vpm/boundary_elements/vlm/solver/vlm_solver.py:1358(add_stage_rates)
        1    0.000    0.000   14.050   14.050 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/solver.py:1217(_update_all_flow_integrals)
     1289    0.020    0.000   13.810    0.011 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/matrix.py:1250(to_numpy)
        1    0.001    0.001   13.541   13.541 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/evaluation.py:942(compute_flow_integrals)
        1    0.002    0.002   13.540   13.540 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/evaluation.py:1034(_compute_fourier_flow_integrals)
        1    0.034    0.034   13.371   13.371 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/evaluation.py:1164(_fourier_integrals_on_persistent_grid)
        1    1.441    1.441   13.320   13.320 /Users/flaviomartins/OpenONDA/source/solvers/vpm/numerics/fourier_integrals.py:195(gaussian_fourier_integrals)
       64    0.001    0.000   11.461    0.179 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/base.py:989(compute_target_velocity)
       64    0.003    0.000   11.254    0.176 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/induction/treecode/evaluator.py:299(evaluate_targets)
        8    2.873    0.359    8.873    1.109 /Users/flaviomartins/OpenONDA/source/solvers/vpm/numerics/fourier_integrals.py:84(_scatter_vortex_strength_m4)
    28283    0.053    0.000    8.463    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:1170(__call__)
    31388    7.086    0.000    7.086    0.000 {built-in method taichi._lib.core.taichi_python.compile_kernel}
    31388    0.071    0.000    6.736    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:1008(ensure_compiled)
       32    0.001    0.000    6.130    0.192 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/base.py:1224(_compute_target_velocity_taichi)
      512    5.718    0.011    5.718    0.011 {method 'at' of 'numpy.ufunc' objects}
    31388    0.081    0.000    5.598    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:634(materialize)
       70    0.001    0.000    5.062    0.072 {built-in method taichi._lib.core.taichi_python.create_kernel}
       70    0.002    0.000    5.061    0.072 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:657(taichi_ast_generator)
  1345/70    0.002    0.000    5.059    0.072 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/transform.py:5(transform_tree)
 61170/70    0.193    0.000    5.058    0.072 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer_utils.py:19(__call__)
  1345/70    0.003    0.000    5.058    0.072 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer.py:935(build_Module)
  1345/70    0.014    0.000    5.044    0.072 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer.py:620(build_FunctionDef)
 19419/70    0.046    0.000    5.036    0.072 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer.py:1716(build_stmts)
   678/69    0.004    0.000    4.992    0.072 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer.py:1478(build_For)


