checkpoint,status,path,particle_kernel,dt_factor,dt,steps,horizon,method,wall_time_s,source_particles,selected_particles,anchor,source_strength_max,selected_strength_max,external_forcing_available,replay_class,position_error,strength_error,strength_magnitude_error,strength_angle_mean_deg,strength_error_p95,strength_error_max,excess_growth,velocity_evaluations,gradient_evaluations,fused_evaluations,pairwise_stretching_sweeps,tree_builds,tree_refits,tree_traversals,kernel_launches,synchronisations,host_device_transfers
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,1.0,0.007798592211502873,10,0.07798592211502874,strang_x_gamma_x,0.02757658896734938,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.1045859995464905e-06,3.512031500582511e-06,1.4058932522177913e-06,0.0002714879380852453,1.5161631224947765e-05,1.7774252096048785e-05,-8.588374479214865e-07,60,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,1.0,0.007798592211502873,10,0.07798592211502874,strang_gamma_x_gamma,0.03559808898717165,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,2.6839509577367157e-06,3.9482983225595775e-06,1.5871227239775099e-06,0.00029564524653321483,1.635448699619523e-05,1.778902787713159e-05,9.900705070666544e-07,30,0,0,60,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,1.0,0.007798592211502873,10,0.07798592211502874,coupled_rk2,0.01387586398050189,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,0.000119753112521417,8.65297019657596e-06,9.542612723071234e-07,0.0007217132168183167,3.671308342379059e-05,6.363249446058308e-05,-7.593749561387061e-07,20,0,0,20,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,1.0,0.007798592211502873,10,0.07798592211502874,coupled_rk3,0.021086376043967903,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,2.226912622421438e-06,2.6452795008503647e-07,4.808987563757978e-08,2.03011574964414e-05,1.1931214597474361e-06,1.4972030463904683e-06,-1.1803571967334937e-08,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,1.0,0.007798592211502873,10,0.07798592211502874,coupled_rk4_reference,0.028005101019516587,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,4.399663640002022e-08,1.9595812239741665e-09,2.751617238705439e-10,3.220612368714574e-07,6.632891525291137e-09,8.886969674407683e-09,-8.903233706233349e-11,40,0,0,40,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,1.0,0.007798592211502873,10,0.07798592211502874,reuse_stage_gradients,0.01927230501314625,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,7.281057883622337e-05,6.902734645168245e-05,4.5896757495765877e-05,0.003048936656185281,0.00015132659425580553,0.00015723495890549328,2.2159892429516532e-05,30,30,0,0,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,1.0,0.007798592211502873,10,0.07798592211502874,averaged_gradient_exponential,0.03772027895320207,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,7.281502128002863e-05,6.917629782086532e-05,4.593616383105035e-05,0.0030740147119547633,0.00015164485768934287,0.00015743824753133091,2.2204008983430552e-05,30,30,0,0,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,2.0,0.015597184423005747,10,0.15597184423005747,fractional_x_gamma,0.022145759023260325,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,0.0002467691992499072,0.0004346218437906044,0.0003285991391752794,0.02349562307167099,0.0020019954905896287,0.002381374370384131,5.604099880994211e-05,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,2.0,0.015597184423005747,10,0.15597184423005747,fractional_gamma_x,0.021113216993398964,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,0.0002500253841427924,0.00043398839349499484,0.0003266150375669646,0.023551301898336215,0.002000217460678259,0.0023562164165644188,-5.294189058296257e-05,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,2.0,0.015597184423005747,10,0.15597184423005747,parallel_lagged,0.021164792007766664,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,0.0002527725516584706,0.00043342340491798505,0.00032668589995530343,0.02343852070275409,0.0019870854470599095,0.0023341459400530173,-5.706312001270899e-05,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,2.0,0.015597184423005747,10,0.15597184423005747,strang_x_gamma_x,0.028414029977284372,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,8.018947048360242e-06,1.5844469308235634e-05,9.3682683110109e-06,0.0010919419694838148,6.855460671911548e-05,9.030661896266596e-05,-5.820562841700588e-06,60,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,2.0,0.015597184423005747,10,0.15597184423005747,strang_gamma_x_gamma,0.033079468994401395,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,3.8874882853018e-05,1.7882100056515952e-05,1.0549815169566768e-05,0.0012032261817345082,7.802674520500194e-05,9.475589977777095e-05,6.915355631433401e-06,30,0,0,60,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,2.0,0.015597184423005747,10,0.15597184423005747,coupled_rk2,0.012653715966735035,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,0.0009407469738593588,7.92908638901801e-05,7.367086593494719e-06,0.006024309187286523,0.0003405501198244991,0.00041010381688966197,-8.730603089143334e-07,20,0,0,20,0,0,0,0,0,0
