case,case_class,mode,method,steps,dt,wall_time_s,finite,position_error,strength_error,strength_magnitude_error,strength_angle_mean_deg,strength_error_p95,strength_error_max,excess_growth,velocity_evaluations,gradient_evaluations,fused_evaluations,pairwise_stretching_sweeps,tree_builds,tree_refits,tree_traversals,kernel_launches,synchronisations,host_device_transfers,affine_map_error,nonaffine_residual,cloud_covariance_condition,gradient_trace_max,inverse_error,deformation_determinant_error,seed,chi_s_imposed
random_20260980,random_history,DIRECT,parallel_lagged,2,0.5,,True,0.21298929787746332,0.24191740509359239,0.14831745032201257,9.736063910364903,0.3153944396898807,0.3153944396898807,0.07482776020665571,6,6,0,0,0,0,0,0,0,0,,,,,,,20260980,0.6119138974238253
random_20260980,random_history,DIRECT,parallel_lagged,4,0.25,,True,0.026987095675207684,0.024559191643929768,0.015744039825995537,0.9235396173459933,0.037029201186502596,0.037029201186502596,-0.002735729652534435,12,12,0,0,0,0,0,0,0,0,,,,,,,20260980,0.30595694871191265
random_20260980,random_history,DIRECT,parallel_lagged,8,0.125,,True,0.004520240797258468,0.00415411830730682,0.003119885208629658,0.14851865980472786,0.005028235721047807,0.005028235721047807,-0.0034280518130875536,24,24,0,0,0,0,0,0,0,0,,,,,,,20260980,0.15297847435595632
random_20260980,random_history,DIRECT,parallel_lagged,16,0.0625,,True,0.000661826367514987,0.0006147913994701514,0.0004687014561662966,0.02155256948161613,0.0007203556897960818,0.0007203556897960818,-0.0005828766851448904,48,48,0,0,0,0,0,0,0,0,,,,,,,20260980,0.07648923717797816
random_20260980,random_history,DIRECT,strang_x_gamma_x,1,1.0,,True,0.21298929787746332,0.8237821249891191,0.29430501216775384,38.36578139777101,1.2206287715704902,1.2206287715704902,0.35194414143064423,6,3,0,0,0,0,0,0,0,0,,,,,,,20260980,1.2238277948476506
random_20260980,random_history,DIRECT,strang_x_gamma_x,2,0.5,,True,0.026987095675207684,0.24191740509359239,0.14831745032201257,9.736063910364903,0.3153944396898807,0.3153944396898807,0.07482776020665571,12,6,0,0,0,0,0,0,0,0,,,,,,,20260980,0.6119138974238253
random_20260980,random_history,DIRECT,strang_x_gamma_x,4,0.25,,True,0.004520240797258468,0.024559191643929768,0.015744039825995537,0.9235396173459933,0.037029201186502596,0.037029201186502596,-0.002735729652534435,24,12,0,0,0,0,0,0,0,0,,,,,,,20260980,0.30595694871191265
random_20260980,random_history,DIRECT,strang_x_gamma_x,8,0.125,,True,0.000661826367514987,0.00415411830730682,0.003119885208629658,0.14851865980472786,0.005028235721047807,0.005028235721047807,-0.0034280518130875536,48,24,0,0,0,0,0,0,0,0,,,,,,,20260980,0.15297847435595632
random_20260980,random_history,DIRECT,strang_x_gamma_x,16,0.0625,,True,8.632885010424311e-05,0.0006147913994701514,0.0004687014561662966,0.02155256948161613,0.0007203556897960818,0.0007203556897960818,-0.0005828766851448904,96,48,0,0,0,0,0,0,0,0,,,,,,,20260980,0.07648923717797816
random_20260980,random_history,DIRECT,strang_gamma_x_gamma,1,1.0,,True,0.8353649510524152,0.24191740509359239,0.14831745032201257,9.736063910364903,0.3153944396898807,0.3153944396898807,0.07482776020665571,3,6,0,0,0,0,0,0,0,0,,,,,,,20260980,1.2238277948476506
random_20260980,random_history,DIRECT,strang_gamma_x_gamma,2,0.5,,True,0.21298929787746332,0.024559191643929768,0.015744039825995537,0.9235396173459933,0.037029201186502596,0.037029201186502596,-0.002735729652534435,6,12,0,0,0,0,0,0,0,0,,,,,,,20260980,0.6119138974238253
random_20260980,random_history,DIRECT,strang_gamma_x_gamma,4,0.25,,True,0.026987095675207684,0.00415411830730682,0.003119885208629658,0.14851865980472786,0.005028235721047807,0.005028235721047807,-0.0034280518130875536,12,24,0,0,0,0,0,0,0,0,,,,,,,20260980,0.30595694871191265
random_20260980,random_history,DIRECT,strang_gamma_x_gamma,8,0.125,,True,0.004520240797258468,0.0006147913994701514,0.0004687014561662966,0.02155256948161613,0.0007203556897960818,0.0007203556897960818,-0.0005828766851448904,24,48,0,0,0,0,0,0,0,0,,,,,,,20260980,0.15297847435595632
random_20260980,random_history,DIRECT,strang_gamma_x_gamma,16,0.0625,,True,0.000661826367514987,8.027908841756523e-05,6.106874568116362e-05,0.002817040964889129,9.403791154158326e-05,9.403791154158326e-05,-7.826807378190119e-05,48,96,0,0,0,0,0,0,0,0,,,,,,,20260980,0.07648923717797816
random_20260980,random_history,DIRECT,coupled_rk2,1,1.0,,True,0.5809219491924511,0.5163060734571624,0.30544915466724937,18.082605631618943,0.8196934207310388,0.8196934207310388,0.3631590108364699,0,0,2,0,0,0,0,0,0,0,,,,,,,20260980,1.2238277948476506
random_20260980,random_history,DIRECT,coupled_rk2,2,0.5,,True,0.5105366235711088,0.5289409571056372,0.20263523753996787,28.165101649003553,0.6034538446104412,0.6034538446104412,0.19381981289998576,0,0,4,0,0,0,0,0,0,0,,,,,,,20260980,0.6119138974238253
random_20260980,random_history,DIRECT,coupled_rk2,4,0.25,,True,0.15859834626806826,0.1695322083897602,0.09115708143259095,7.899007541775944,0.19976329680205054,0.19976329680205054,0.023919505948372777,0,0,8,0,0,0,0,0,0,0,,,,,,,20260980,0.30595694871191265
random_20260980,random_history,DIRECT,coupled_rk2,8,0.125,,True,0.030830509702540046,0.032268627733137545,0.019202754102621268,1.4515653761475353,0.036381847777792464,0.036381847777792464,-0.0239069318046154,0,0,16,0,0,0,0,0,0,0,,,,,,,20260980,0.15297847435595632
random_20260980,random_history,DIRECT,coupled_rk2,16,0.0625,,True,0.0072409390262436375,0.007518040044526268,0.004423462513931488,0.3408043821145249,0.008321491505463264,0.008321491505463264,-0.00625070551186608,0,0,32,0,0,0,0,0,0,0,,,,,,,20260980,0.07648923717797816
random_20260980,random_history,DIRECT,coupled_rk3,1,1.0,,True,0.8353649510524152,0.8237821249891191,0.29430501216775384,38.36578139777101,1.2206287715704902,1.2206287715704902,0.35194414143064423,0,0,3,0,0,0,0,0,0,0,,,,,,,20260980,1.2238277948476506
random_20260980,random_history,DIRECT,coupled_rk3,2,0.5,,True,0.21298929787746332,0.24191740509359239,0.14831745032201257,9.736063910364903,0.3153944396898807,0.3153944396898807,0.07482776020665571,0,0,6,0,0,0,0,0,0,0,,,,,,,20260980,0.6119138974238253
random_20260980,random_history,DIRECT,coupled_rk3,4,0.25,,True,0.026987095675207684,0.024559191643929768,0.015744039825995537,0.9235396173459933,0.037029201186502596,0.037029201186502596,-0.002735729652534435,0,0,12,0,0,0,0,0,0,0,,,,,,,20260980,0.30595694871191265
random_20260980,random_history,DIRECT,coupled_rk3,8,0.125,,True,0.004520240797258468,0.00415411830730682,0.003119885208629658,0.14851865980472786,0.005028235721047807,0.005028235721047807,-0.0034280518130875536,0,0,24,0,0,0,0,0,0,0,,,,,,,20260980,0.15297847435595632
random_20260980,random_history,DIRECT,coupled_rk3,16,0.0625,,True,0.000661826367514987,0.0006147913994701514,0.0004687014561662966,0.02155256948161613,0.0007203556897960818,0.0007203556897960818,-0.0005828766851448904,0,0,48,0,0,0,0,0,0,0,,,,,,,20260980,0.07648923717797816
random_20260980,random_history,DIRECT,coupled_rk4_reference,1,1.0,,True,0.681333239969606,0.7013507891906832,0.24987115408492266,37.28283505149136,0.9271229234791735,0.9271229234791735,0.26715812804848527,0,0,4,0,0,0,0,0,0,0,,,,,,,20260980,1.2238277948476506
random_20260980,random_history,DIRECT,coupled_rk4_reference,2,0.5,,True,0.22539071392145218,0.2573793402876815,0.15544846004074234,10.12178081610497,0.3380823331113943,0.3380823331113943,0.11829915599195903,0,0,8,0,0,0,0,0,0,0,,,,,,,20260980,0.6119138974238253
random_20260980,random_history,DIRECT,coupled_rk4_reference,4,0.25,,True,0.011290918438762641,0.012192339530122883,0.0054348156572023715,0.6072174477893083,0.014646639348825501,0.014646639348825501,0.006599096281020951,0,0,16,0,0,0,0,0,0,0,,,,,,,20260980,0.30595694871191265
random_20260980,random_history,DIRECT,coupled_rk4_reference,8,0.125,,True,0.0003453437935913514,0.0003717952604992485,0.00022523413886830094,0.015368057312420434,0.0005144402723268835,0.0005144402723268835,0.00018300094914624283,0,0,32,0,0,0,0,0,0,0,,,,,,,20260980,0.15297847435595632
random_20260980,random_history,DIRECT,coupled_rk4_reference,16,0.0625,,True,1.9653428687959517e-05,2.1860012060833276e-05,1.3532286315587392e-05,0.000891542680614577,2.7620775097307995e-05,2.7620775097307995e-05,1.5101514100239488e-05,0,0,64,0,0,0,0,0,0,0,,,,,,,20260980,0.07648923717797816
random_20260980,random_history,DIRECT,reuse_stage_gradients,1,1.0,,True,0.8353649510524152,0.8237821249891191,0.29430501216775384,38.36578139777101,1.2206287715704902,1.2206287715704902,0.35194414143064423,3,3,0,0,0,0,0,0,0,0,,,,,,,20260980,1.2238277948476506
random_20260980,random_history,DIRECT,reuse_stage_gradients,2,0.5,,True,0.21298929787746332,0.24191740509359239,0.14831745032201257,9.736063910364903,0.3153944396898807,0.3153944396898807,0.07482776020665571,6,6,0,0,0,0,0,0,0,0,,,,,,,20260980,0.6119138974238253
random_20260980,random_history,DIRECT,reuse_stage_gradients,4,0.25,,True,0.026987095675207684,0.024559191643929768,0.015744039825995537,0.9235396173459933,0.037029201186502596,0.037029201186502596,-0.002735729652534435,12,12,0,0,0,0,0,0,0,0,,,,,,,20260980,0.30595694871191265
random_20260980,random_history,DIRECT,reuse_stage_gradients,8,0.125,,True,0.004520240797258468,0.00415411830730682,0.003119885208629658,0.14851865980472786,0.005028235721047807,0.005028235721047807,-0.0034280518130875536,24,24,0,0,0,0,0,0,0,0,,,,,,,20260980,0.15297847435595632
random_20260980,random_history,DIRECT,reuse_stage_gradients,16,0.0625,,True,0.000661826367514987,0.0006147913994701514,0.0004687014561662966,0.02155256948161613,0.0007203556897960818,0.0007203556897960818,-0.0005828766851448904,48,48,0,0,0,0,0,0,0,0,,,,,,,20260980,0.07648923717797816
random_20260980,random_history,DIRECT,averaged_gradient_exponential,1,1.0,,True,0.8353649510524152,0.6581569330132477,0.2148477905849995,34.83656339963672,0.854261155695409,0.854261155695409,0.23706475334327662,3,3,0,0,0,0,0,0,0,0,,,,,,,20260980,1.2238277948476506
random_20260980,random_history,DIRECT,averaged_gradient_exponential,2,0.5,,True,0.21298929787746332,0.2433782989781866,0.14965308166708097,9.945517861235233,0.31949037345045467,0.31949037345045467,0.07832034373337572,6,6,0,0,0,0,0,0,0,0,,,,,,,20260980,0.6119138974238253
random_20260980,random_history,DIRECT,averaged_gradient_exponential,4,0.25,,True,0.026987095675207684,0.02231012658906828,0.014503649266188209,0.9515301260038527,0.030747653947003885,0.030747653947003885,0.00811768707592582,12,12,0,0,0,0,0,0,0,0,,,,,,,20260980,0.30595694871191265
