checkpoint,configuration,rank,checkpoint_index,x0,y0,z0,initial_strength,final_strength,relative_strength_growth,displacement
rotor,production_numerics_unforced,17,69515,0.28261062502861023,0.4330608546733856,-1.0094046592712402,7.148025438733186e-05,7.588927031350928e-05,0.06168159254563044,0.07723494602831095
rotor,production_numerics_unforced,18,69521,0.2826117277145386,0.6576927900314331,0.8797361254692078,6.839779640505062e-05,7.261480698865405e-05,0.06165418778450649,0.07723297240985948
rotor,production_numerics_unforced,19,69380,0.32096371054649353,0.48341104388237,-0.9822790622711182,7.489498823537639e-05,7.92478929304067e-05,0.05812010653303257,0.07793403014513678
rotor,production_numerics_unforced,20,69322,0.3209289312362671,-1.0923442840576172,0.07253516465425491,7.068135911690833e-05,7.479149568899153e-05,0.05815021985195501,0.07792573456232317
rotor,production_numerics_unforced,21,69386,0.32095471024513245,0.6090262532234192,0.9097767472267151,7.078571495995214e-05,7.490103571210173e-05,0.05813772954723806,0.0779245084726225
rotor,production_numerics_unforced,22,69221,0.35960203409194946,-1.0907350778579712,0.015668366104364395,7.358056121991548e-05,7.743038341990715e-05,0.052321185597992814,0.07863310919197104
rotor,production_numerics_unforced,23,69245,0.3595661520957947,0.5318809747695923,-0.952380359172821,7.807725390306267e-05,8.215978372765786e-05,0.05228833777458264,0.07863210604576641
rotor,production_numerics_unforced,24,69251,0.35958924889564514,0.5589349269866943,0.9368106126785278,7.275117439645167e-05,7.655726828968743e-05,0.05231659728947813,0.07862651013053806
rotor,production_numerics_unforced,25,66005,1.3928043842315674,0.9626570343971252,0.1309564858675003,8.459604689369928e-05,8.59716036745931e-05,0.0162602962124494,0.09406173399411134
rotor,production_numerics_unforced,26,65870,1.4396759271621704,0.9525619149208069,0.17616575956344604,8.565601095567869e-05,8.700246263716189e-05,0.015719290058696433,0.09436618276179877
rotor,production_numerics_unforced,27,69071,0.39859363436698914,0.5077162981033325,0.9608030319213867,7.621850023868837e-05,7.964003596676214e-05,0.04489114476614953,0.07936987364624042
rotor,production_numerics_unforced,28,69083,0.39854010939598083,-1.0858350992202759,-0.040730834007263184,7.676267142081271e-05,8.02078362068281e-05,0.04488073072820775,0.0793715375425088
rotor,production_numerics_unforced,29,65735,1.4867205619812012,0.9406946897506714,0.22068437933921814,8.69987727501305e-05,8.823722007623493e-05,0.014235227543512474,0.09464222518139262
rotor,production_numerics_unforced,30,65876,1.4396015405654907,-0.6285914182662964,0.7368200421333313,8.511942978817828e-05,8.645880305268391e-05,0.0157352236479813,0.09435090506777702
rotor,production_numerics_unforced,31,69116,0.3985690176486969,0.5782790780067444,-0.9200150966644287,7.985007123482562e-05,8.3435369702395e-05,0.04490037907449862,0.07936814760374385
rotor,production_numerics_unforced,32,66011,1.392689824104309,-0.5945786833763123,0.7682221531867981,8.447860408184645e-05,8.584994079117253e-05,0.016232947078498983,0.09403247336358841
rotor,production_numerics_unforced,33,65953,1.392706274986267,-0.367758572101593,-0.8989781737327576,8.192068027708996e-05,8.325455789303467e-05,0.016282550528547546,0.09403134901299538
rotor,production_numerics_unforced,34,65699,1.4867676496505737,-0.27912306785583496,-0.9246599078178406,8.405845064519836e-05,8.525642757835544e-05,0.014251713230042817,0.09462645270602373
rotor,production_numerics_unforced,35,65812,1.4396098852157593,-0.32354915142059326,-0.9127768874168396,8.310603285148854e-05,8.44162337150858e-05,0.01576541219262162,0.09434338522345832
rotor,production_numerics_unforced,36,66146,1.3460164070129395,0.9711790680885315,0.0851939469575882,8.343582854204945e-05,8.473723244456606e-05,0.015597662601992912,0.09368877991997246
rotor,production_numerics_unforced,37,65606,1.534010648727417,-0.6922227740287781,0.6707087755203247,8.709461129668809e-05,8.814472267493102e-05,0.01205713376072981,0.09487111518807814
rotor,production_numerics_unforced,38,65741,1.4866771697998047,-0.6612026691436768,0.7043060660362244,8.67277646355875e-05,8.796305644260308e-05,0.014243325793141803,0.09461933656977543
rotor,production_numerics_unforced,39,65600,1.534014344215393,0.9271727204322815,0.2644023299217224,8.752889858112034e-05,8.858176682474564e-05,0.012028807179031542,0.09486789986608762
rotor,production_numerics_unforced,40,66104,1.3459923267364502,-0.4116445481777191,-0.8833079934120178,8.157916269110008e-05,8.285519629902365e-05,0.01564166100546127,0.09368751240488937
rotor,production_numerics_unforced,41,66141,1.3459618091583252,-0.5591145753860474,0.798412561416626,8.347588577656604e-05,8.477494209556486e-05,0.015562054920578161,0.09367552340436551
rotor,production_numerics_unforced,42,65547,1.5339906215667725,-0.2344456911087036,-0.9348519444465637,8.51637224244158e-05,8.619445949933461e-05,0.012103006369098113,0.09485819122911729
rotor,production_numerics_unforced,43,66259,1.299544334411621,-0.45519310235977173,-0.8657383322715759,8.088817020306619e-05,8.198370041005614e-05,0.01354376300316451,0.09329835789572068
rotor,production_numerics_unforced,44,65419,1.5814692974090576,-0.18965326249599457,-0.9431436657905579,8.574865644434262e-05,8.656036744531418e-05,0.009466165822649586,0.09506560062701394
rotor,production_numerics_unforced,45,65465,1.5814030170440674,0.9119774103164673,0.30741432309150696,8.852403653171938e-05,8.935895972940624e-05,0.00943159881087996,0.09506601344816032
rotor,production_numerics_unforced,46,66281,1.299548625946045,0.9777529239654541,0.03870580717921257,8.261852064754561e-05,8.373061119006358e-05,0.013460547753719743,0.09328635660989998
rotor,production_numerics_unforced,47,65471,1.581398844718933,-0.721918523311615,0.6360850930213928,8.748008830842314e-05,8.830803871216852e-05,0.00946444407813507,0.09506243804798316
rotor,production_numerics_unforced,48,66276,1.299452781677246,-0.5221951007843018,0.8273894786834717,8.201927139732744e-05,8.312717861308382e-05,0.013507889022682518,0.09327761000408896
rotor,production_numerics_unforced,49,66358,1.2532888650894165,-0.49829810857772827,-0.8462638258934021,8.088442944163661e-05,8.170968421505514e-05,0.01020288798617286,0.09287488211317355
rotor,production_numerics_unforced,50,66416,1.253304362297058,-0.4836440086364746,0.8548697233200073,8.037666602658667e-05,8.119701949006915e-05,0.010206363414117181,0.0928708257013969
rotor,production_numerics_unforced,51,66410,1.2533180713653564,0.982364296913147,-0.008376111276447773,8.107881831969185e-05,8.189884890398008e-05,0.010113992794700932,0.09286980607134393
rotor,production_numerics_unforced,52,65330,1.6289747953414917,0.8952624201774597,0.3496272563934326,8.840611029412512e-05,8.899831943461943e-05,0.0066987353987641995,0.0952183757093301
rotor,production_numerics_unforced,53,65336,1.6289077997207642,-0.7501732110977173,0.6004858016967773,8.770732839098772e-05,8.830836107610913e-05,0.006852707705815364,0.09521001649707736
rotor,production_numerics_unforced,54,65279,1.6288691759109497,-0.14461463689804077,-0.9498802423477173,8.640205616510859e-05,8.699668213245938e-05,0.006882081211290858,0.09520418327772977
rotor,production_numerics_unforced,55,66487,1.2073652744293213,-0.5408308506011963,-0.8246718645095825,7.931930860639077e-05,7.976580116132576e-05,0.00562905253184498,0.09241613898901767
rotor,production_numerics_unforced,56,65195,1.6766303777694702,0.876979649066925,0.3910931646823883,8.883777242145785e-05,8.920772751906423e-05,0.004164389623045217,0.09534152756716355
rotor,production_numerics_unforced,57,66545,1.2073543071746826,0.9850677847862244,-0.056006450206041336,8.039670625110746e-05,8.083226248029894e-05,0.00541758797718761,0.09239709951376156
rotor,production_numerics_unforced,58,65201,1.6765903234481812,-0.7769109010696411,0.5639405846595764,8.706914207716754e-05,8.74428039386741e-05,0.004291553271254189,0.0953304606999047
rotor,production_numerics_unforced,59,65159,1.6766047477722168,-0.09959561377763748,-0.9546764492988586,8.860054391740704e-05,8.897957519229234e-05,0.00427797909726868,0.09533085720812909
rotor,production_numerics_unforced,60,66551,1.2072639465332031,-0.44388580322265625,0.8811610341072083,7.959760051859643e-05,8.0025761209995e-05,0.005379065306102326,0.09237864000755902
rotor,production_numerics_unforced,61,65002,1.724290370941162,-0.054418280720710754,-0.9579331874847412,8.973035202470916e-05,8.993154627985252e-05,0.002242209582415944,0.09540727426817258
rotor,production_numerics_unforced,62,66634,1.1616320610046387,-0.5828028321266174,-0.8012229800224304,8.000450520255679e-05,8.000098578136818e-05,-4.399028754320522e-05,0.09191292840519603
rotor,production_numerics_unforced,63,66680,1.1616606712341309,0.9856467247009277,-0.10409999638795853,8.083869831562185e-05,8.083047550612265e-05,-0.00010171872717568142,0.09191115633761655
rotor,production_numerics_unforced,64,66686,1.1616290807724,-0.402426153421402,0.9055824875831604,7.860582033653093e-05,7.860724207472253e-05,1.808693281879492e-05,0.09190551207833163
rotor,production_numerics_unforced,65,65061,1.7242697477340698,-0.8023037910461426,0.5264577865600586,8.65617923278134e-05,8.675816850546071e-05,0.002268624208976888,0.09540601237157645
rotor,production_numerics_unforced,66,65066,1.7240959405899048,0.8572567701339722,0.43203285336494446,8.961853290625517e-05,8.982504903236122e-05,0.0023043908375746103,0.09539801744727013
rotor,production_numerics_unforced,67,64931,1.7721748352050781,0.835932731628418,0.47167450189590454,9.111726212306067e-05,9.117934514711602e-05,0.0006813530456117878,0.09545406387230176
rotor,production_numerics_unforced,68,64926,1.7720955610275269,-0.8261703252792358,0.48810362815856934,8.643988593541204e-05,8.650882684925637e-05,0.00079755905619594,0.09544307584584312
rotor,production_numerics_unforced,69,64889,1.772019624710083,-0.009162357077002525,-0.9594465494155884,9.009775750135152e-05,9.0168426014747e-05,0.0007843537437035586,0.0954411660929766
rotor,production_numerics_unforced,70,66815,1.1162844896316528,0.9841489791870117,-0.15262916684150696,8.000791590734498e-05,7.950086812659013e-05,-0.006337470174102022,0.09136938093062531
rotor,production_numerics_unforced,71,66821,1.1162570714950562,-0.359675794839859,0.9285971522331238,7.833719123428757e-05,7.784881571626328e-05,-0.0062342740444149,0.09136447204668158
rotor,production_numerics_unforced,72,66757,1.1162209510803223,-0.6241270899772644,-0.7757711410522461,8.043854258407528e-05,7.992991033726611e-05,-0.006323240457490109,0.09136042948818413
rotor,production_numerics_unforced,73,68919,0.43786948919296265,-1.0778394937515259,-0.0963839516043663,8.026125573850958e-05,8.319206595322563e-05,0.03651587790084676,0.08011310316841885
rotor,production_numerics_unforced,74,68976,0.4378755986690521,0.4554729461669922,0.981685996055603,7.891375034349397e-05,8.178966481582751e-05,0.036443768795872966,0.08011151848703406
rotor,production_numerics_unforced,75,68981,0.43788596987724304,0.6224929690361023,-0.8852472305297852,8.194084833971113e-05,8.493323295643003e-05,0.03651883861774352,0.08011244208081438
rotor,production_numerics_unforced,76,66956,1.071149230003357,-0.3155245780944824,0.9497463703155518,7.88844077885094e-05,7.791139787561439e-05,-0.012334629113318063,0.09080559686679922
rotor,production_numerics_unforced,77,66950,1.071198582649231,0.9804157614707947,-0.20146071910858154,7.997755942694145e-05,7.898468617385995e-05,-0.01241439799108257,0.09080752262356545
rotor,production_numerics_unforced,78,66892,1.0711699724197388,-0.6645312905311584,-0.748058021068573,8.119822603870521e-05,8.01914463980071e-05,-0.012399034927415786,0.09080865484985633
