time,step,surface,force_density,force_units,moment_units,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.03,6,wing_0,1.0,N,N*m,1.3563330185567075,0.01990563467578795,0.16954162731958847,0.002488204334473494,4,-0.10752210055171212,0.0,-0.10752210055171212,0.01990563467578795,-0.012207326766612903,1.3563330185567075,-0.3584070018390404,-0.2754928911461797,-0.018247135555591744,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0004703717346259962,-0.05226211494673324
0.03,6,wing_1,1.0,N,N*m,1.2330890350549053,0.027050542937080743,0.1541361293818632,0.0033813178671350933,4,-0.10523876700007238,0.0,-0.10523876700007238,0.027050542937080743,-0.011098100965838333,1.2330890350549053,-0.3507958900002413,-2.2074784504557314,-0.02999402478599896,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0008796100404477315,0.09773181009427286
0.035,7,wing_0,1.0,N,N*m,1.355486086860512,0.02000363725575979,0.16943576085756404,0.002500454656969974,4,-0.10750711719360097,0.0,-0.10750711719360097,0.02000363725575979,-0.014233126983296589,1.355486086860512,-0.35835705731200324,-0.27576248951087684,-0.01861044960500343,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0005487643484805017,-0.0522613505945276
0.035,7,wing_1,1.0,N,N*m,1.230616183119431,0.027091328033305894,0.15382702288992892,0.003386416004163237,4,-0.10519959137273921,0.0,-0.10519959137273921,0.027091328033305894,-0.012921944807716114,1.230616183119431,-0.35066530457579737,-2.202870497128051,-0.033175611840005254,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0010262067110538289,0.09773038073144122
0.04,8,wing_0,1.0,N,N*m,1.3546643991948186,0.020101776223917983,0.16933304989935236,0.0025127220279897483,4,-0.10749246587417305,0.0,-0.10749246587417305,0.020101776223917983,-0.01625675312197888,1.3546643991948186,-0.35830821958057685,-0.276042671529509,-0.018975429858832778,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0006271557276155139,-0.05226046865430516
0.04,8,wing_1,1.0,N,N*m,1.2281491913803353,0.02713231253349689,0.15351864892254194,0.003391539066687112,4,-0.10516048577169147,0.0,-0.10516048577169147,0.02713231253349689,-0.014738497751247675,1.2281491913803353,-0.35053495257230494,-2.1982771904542044,-0.03634375416990726,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.001172801072695351,0.09772873147529416
0.045,9,wing_0,1.0,N,N*m,1.3538678479294906,0.020200052551285524,0.16923348099118635,0.002525006568910691,4,-0.10747814678400507,0.0,-0.10747814678400507,0.020200052551285524,-0.01827832636886672,1.3538678479294906,-0.3582604892800169,-0.2763333092774263,-0.01934212242923252,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0007055456956504281,-0.052259469128050295
0.045,9,wing_1,1.0,N,N*m,1.2256879736769162,0.02717348224884672,0.15321099670961455,0.0033966852811058404,4,-0.10512144856097515,0.0,-0.10512144856097515,0.02717348224884672,-0.016547792935273534,1.2256879736769162,-0.35040482853658383,-2.193698289208313,-0.039498530212572484,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0013193927955349185,0.09772686232954253
0.05,10,wing_0,1.0,N,N*m,1.3530963154584834,0.020298466609046224,0.16913703943231045,0.0025373083261307785,4,-0.107464159987755,0.0,-0.107464159987755,0.020298466609046224,-0.02029796710224561,1.3530963154584834,-0.35821386662585003,-0.2766342699498809,-0.019710572497594815,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0007839340762077763,-0.05225835201801194
0.05,10,wing_1,1.0,N,N*m,1.2232324409005553,0.027214822741804885,0.15290405511256944,0.003401852842725611,4,-0.10508247807100651,0.0,-0.10508247807100651,0.027214822741804885,-0.018349862873867917,1.2232324409005553,-0.35027492690335504,-2.1891335467204627,-0.04264001675335288,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.00146598154974123,0.09772477329839187
