time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,force_density,force_units,moment_units,reference_speed,reference_speed_units,power,rotational_power,translational_power
0.055,11,0.3216415219431363,0.005956667189111691,0.0053075667824896465,0.04765333751289352,-0.042460534259917165,2.5731321755450898,-0.03574633776021418,0.005611456180436087,-0.3400573897905925,-0.7083135934212303,-1.1795197572184724,-0.04469405521438685,2.5731321755450898,0.04765333751289352,2.0,3.9999999999999996,-0.044269599588826904,-0.07371998482615454,-0.0027933784508991787,-0.044269599588826924,0.014650517769695576,-0.001335132819874679,1.4677189362716692,-1.4677189362716692,0.0,198,1.0,N,N*m,2.0,m/s,-0.2124940780263691,-0.2124940780263691,0.0
0.06,12,0.32124573095768644,0.005974207947290569,0.005783047739885372,0.04779366357832455,-0.04626438191908297,2.569965847661491,-0.03560219864645205,0.006096852036836237,-0.3386774201440603,-0.7081397111156529,-1.1768709851392352,-0.04628591089426204,2.569965847661491,0.04779366357832455,2.0,3.9999999999999996,-0.04425873194472831,-0.07355443657120221,-0.002892869430891378,-0.044258731944728326,0.014706073450583054,-0.0013040086498282797,1.4654106694274713,-1.4654106694274713,0.0,216,1.0,N,N*m,2.0,m/s,-0.2124419133346958,-0.2124419133346958,0.0
0.065,13,0.32085369116998086,0.005991781381027955,0.006257440128457493,0.04793425104822363,-0.05005952102765994,2.5668295293598464,-0.035456233393008005,0.00657778188474263,-0.33727939126937556,-0.7079671397405141,-1.174230570744291,-0.04787089264574462,2.5668295293598464,0.04793425104822363,2.0,3.9999999999999996,-0.044247946233782136,-0.0733894106715182,-0.0029919307903590394,-0.04424794623378215,0.01476213999979423,-0.001272757641547738,1.463108535690867,-1.4631085356908669,0.0,234,1.0,N,N*m,2.0,m/s,-0.21239014192215422,-0.21239014192215422,0.0
0.07,14,0.32046537072812,0.00600938533173677,0.006730762236429502,0.04807508265389415,-0.05384609789143601,2.5637229658249594,-0.035308494366057555,0.007054177049608977,-0.33586381214736505,-0.7077958719424488,-1.1715982275700945,-0.04944903876212861,2.5637229658249594,0.04807508265389415,2.0,3.9999999999999996,-0.044237241996403054,-0.07322488922313092,-0.0030905649226330386,-0.044237241996403075,0.014818726655461936,-0.001241377150587943,1.4608126627341131,-1.4608126627341127,0.0,252,1.0,N,N*m,2.0,m/s,-0.2123387615827346,-0.2123387615827346,0.0
0.075,15,0.32008073639515755,0.006027017547367951,0.007203032121587057,0.0482161403789436,-0.05762425697269645,2.56064589116126,-0.03515903435340031,0.007525971959286626,-0.33443119594016313,-0.7076258998997274,-1.1689736677332463,-0.05102038562854709,2.56064589116126,0.0482161403789436,2.0,3.9999999999999996,-0.044226618743732966,-0.07306085423332791,-0.0031887741017841936,-0.04422661874373298,0.014875842367354543,-0.001209864475998435,1.4585231747299905,-1.45852317472999,0.0,270,1.0,N,N*m,2.0,m/s,-0.21228776996991822,-0.21228776996991822,0.0
0.08,16,0.3196997535987012,0.006044675685314301,0.007674267602332419,0.0483574054825144,-0.06139414081865935,2.557598028789609,-0.03500790651845319,0.007993104163934053,-0.3329820595416579,-0.7074572153369009,-1.166356602423785,-0.05258496772648818,2.557598028789609,0.0483574054825144,2.0,3.9999999999999996,-0.04421607595855631,-0.07289728765148658,-0.0032865604829055116,-0.04421607595855632,0.0149334957795695,-0.0011782168630399025,1.4562401923258457,-1.4562401923258457,0.0,288,1.0,N,N*m,2.0,m/s,-0.21223716460107026,-0.21223716460107026,0.0
0.085,17,0.3193223864811891,0.0060623573153954485,0.008144486249196083,0.04849885852316358,-0.06515588999356865,2.5545790918495124,-0.034855164354312414,0.008455514351967779,-0.3315169231285532,-0.707289809538582,-1.163746742395034,-0.0541428176427563,2.5545790918495124,0.04849885852316358,2.0,3.9999999999999996,-0.04420561309616138,-0.07273417139968964,-0.0033839261026722693,-0.044205613096161396,0.014991695213624114,-0.0011464315060538985,1.4539638326206827,-1.4539638326206823,0.0,306,1.0,N,N*m,2.0,m/s,-0.21218694286157463,-0.21218694286157463,0.0
0.09,18,0.31894859795129354,0.006080059922973564,0.008613705376824694,0.04864047938378851,-0.06890964301459754,2.551588783610348,-0.03470086163750669,0.008913146361964601,-0.33003630970847636,-0.7071236733646663,-1.16114379845596,-0.05569396608275822,2.551588783610348,0.04864047938378851,2.0,3.9999999999999996,-0.04419522958529165,-0.07257148740349752,-0.0034808728801723893,-0.04419522958529166,0.01505044865169285,-0.0011145055514731107,1.4516942091453207,-1.4516942091453204,0.0,324,1.0,N,N*m,2.0,m/s,-0.21213710200939984,-0.21213710200939984,0.0
0.095,19,0.3185783497361883,0.006097780912174814,0.009081942036449409,0.0487822472973985,-0.07265553629159525,2.548626797889506,-0.03454505238166254,0.009365947190544384,-0.3285407446672533,-0.7069587972652175,-1.1585474819608819,-0.05723844188817394,2.548626797889506,0.0487822472973985,2.0,3.9999999999999996,-0.0441849248290761,-0.07240921762255513,-0.0035774026180108716,-0.04418492482907611,0.015109763720243929,-0.0010824361009747967,1.449431431845629,-1.4494314318456292,0.0,342,1.0,N,N*m,2.0,m/s,-0.21208763917956525,-0.21208763917956525,0.0
0.1,20,0.31821160243445,0.00611551760919445,0.009549213008836719,0.048924140873555594,-0.07639370407069374,2.5456928194755997,-0.03438779079127072,0.009813866996278751,-0.3270307553171708,-0.706795171296051,-1.1559575052981308,-0.05877627205892247,2.5456928194755997,0.048924140873555594,2.0,3.9999999999999996,-0.04417469820600319,-0.07224734408113319,-0.0036735170036826547,-0.0441746982060032,0.015169647673910956,-0.001050220214771268,1.447175607068829,-1.447175607068829,0.0,360,1.0,N,N*m,2.0,m/s,-0.21203855138881528,-0.21203855138881528,0.0
