time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z,strain_rate_xx,strain_rate_xy,strain_rate_xz,strain_rate_yy,strain_rate_yz,strain_rate_zz,velocity_gradient_xx,velocity_gradient_xy,velocity_gradient_xz,velocity_gradient_yx,velocity_gradient_yy,velocity_gradient_yz,velocity_gradient_zx,velocity_gradient_zy,velocity_gradient_zz
0.1,2,5.8125,0.0,0.0,0.99855494,8.5225065e-07,6.8400084e-07,3.817605603113807e-10,-2.745943610925198e-08,-2.4865830091459545e-09,0.0007521187592492012,-3.8568204665047795e-07,-3.464913030890658e-07,-0.00037603675004549116,-2.2682107814696838e-08,-0.0003760814271760239,0.0007521187592492012,-3.84438755145905e-07,-3.602210211436918e-07,-3.8692533815505093e-07,-0.00037603675004549116,-2.2872988094852528e-08,-3.3276158503443983e-07,-2.2491227534541147e-08,-0.0003760814271760239
0.1,2,5.84375,0.0,0.0,0.9985782,8.351058e-07,6.689429e-07,4.004050034920161e-10,-2.8376342094010875e-08,-2.6492523226714047e-09,0.0007360013387385476,-3.7809884013536503e-07,-3.3911345874166053e-07,-0.00036797865725832094,-2.2017919696069074e-08,-0.0003680225943005048,0.0007360013387385476,-3.767742139740293e-07,-3.5330162978866597e-07,-3.7942346629670073e-07,-0.00036797865725832094,-2.2218122197815082e-08,-3.249252876946551e-07,-2.1817717194323066e-08,-0.0003680225943005048
0.1,2,5.875,0.0,0.0,0.99860096,8.2416983e-07,6.592171e-07,3.3628562701702464e-10,-2.8623614260783162e-08,-2.7221172375246254e-09,0.000720314523980331,-3.707822561748258e-07,-3.319344288231374e-07,-0.00036013569259518686,-2.134653012139605e-08,-0.00036017848246891845,0.000720314523980331,-3.694211975560635e-07,-3.46246235953529e-07,-3.7214331479358813e-07,-0.00036013569259518686,-2.151467293490456e-08,-3.1762262169274583e-07,-2.1178387307887537e-08,-0.00036017848246891845
0.1,2,5.90625,0.0,0.0,0.99862325,8.187218e-07,6.5461956e-07,3.374225851797332e-10,-2.8070660948616415e-08,-2.831239271443276e-09,0.0007050431953314722,-3.6354655638702534e-07,-3.252317393453183e-07,-0.00035250035436775937,-2.0693888369834415e-08,-0.000352542666822004,0.0007050431953314722,-3.621309367513037e-07,-3.392670698196265e-07,-3.64962176022747e-07,-0.00035250035436775937,-2.086259966242428e-08,-3.111964088710101e-07,-2.0525177077244548e-08,-0.000352542666822004
0.1,2,5.9375,0.0,0.0,0.998645,8.0583163e-07,6.4284484e-07,3.6470752110061115e-10,-2.6775466606607777e-08,-2.811304972643409e-09,0.0006901757366204533,-3.5650844946260825e-07,-3.190137403032489e-07,-0.00034506700890407237,-2.006496476283405e-08,-0.0003451084368339525,0.0006901757366204533,-3.5510279697628655e-07,-3.324014736065528e-07,-3.5791410194892996e-07,-0.00034506700890407237,-2.0247318523384356e-08,-3.0562600699994503e-07,-1.9882611002283745e-08,-0.0003451084368339525
0.1,2,5.96875,0.0,0.0,0.9986664,7.91664e-07,6.307962e-07,3.124115638902065e-10,-2.6652000510875686e-08,-2.8374561754422557e-09,0.0006756983912259568,-3.496415783162845e-07,-3.123976634627259e-07,-0.00033782854546775243,-1.9468195339331052e-08,-0.000337868943690354,0.0006756983912259568,-3.4822285022856336e-07,-3.2572366371816375e-07,-3.510603064040056e-07,-0.00033782854546775243,-1.9624401121276155e-08,-2.9907166320728806e-07,-1.931198955738595e-08,-0.000337868943690354
0.1,2,6.0,0.0,0.0,0.9986872,7.7875245e-07,6.195597e-07,3.051353250610846e-10,-2.5931471237517737e-08,-2.9413443462404437e-09,0.0006615981737769991,-3.429015758930006e-07,-3.0642950745771684e-07,-0.0003307792570152909,-1.890051440540003e-08,-0.00033081920793208213,0.0006615981737769991,-3.414309037198804e-07,-3.193952430764757e-07,-3.4437224806612083e-07,-0.0003307792570152909,-1.905308206793057e-08,-2.9346377183895797e-07,-1.8747946742869487e-08,-0.00033081920793208213
0.1,2,6.03125,0.0,0.0,0.9987077,7.7575606e-07,6.185471e-07,3.6493477449737587e-10,-2.6222552855961864e-08,-3.0622669108993803e-09,0.0006478650838186682,-3.3637815544386e-07,-2.998555528923238e-07,-0.00032391312450374645,-1.8344809900269516e-08,-0.00032395204635182203,0.0006478650838186682,-3.348470219884103e-07,-3.1296682932030473e-07,-3.379092888993097e-07,-0.00032391312450374645,-1.8527277287518204e-08,-2.8674427646434286e-07,-1.8162342513020828e-08,-0.00032395204635182203
0.1,2,6.0625,0.0,0.0,0.99872774,7.6515096e-07,6.0954983e-07,3.092281071232373e-10,-2.4636367865153567e-08,-3.015905852542266e-09,0.0006344871008523052,-3.300295396522983e-07,-2.9407863807870215e-07,-0.00031722477862397656,-1.7802479671184097e-08,-0.0003172626134990641,0.0006344871008523052,-3.2852158672602716e-07,-3.0639682201127894e-07,-3.315374925785694e-07,-0.00031722477862397656,-1.7957093724745715e-08,-2.8176045414612537e-07,-1.7647865617622478e-08,-0.0003172626134990641
0.1,2,6.09375,0.0,0.0,0.99874735,7.4878096e-07,5.9530225e-07,3.0308895181770015e-10,-2.4447218035971905e-08,-3.071370060584171e-09,0.0006214537980872223,-3.237703964096132e-07,-2.888532651880939e-07,-0.0003107077537895784,-1.7290755964813147e-08,-0.0003107454624118103,0.0006214537980872223,-3.2223471137932114e-07,-3.0107687420607987e-07,-3.253060814399053e-07,-0.0003107077537895784,-1.7442300440721997e-08,-2.7662965617010796e-07,-1.7139211488904297e-08,-0.0003107454624118103
