time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.6875,55,-0.16784794922980167,0.0010286726546159745,0.0,-2.4148815,0.0,-83.8908,-5.2583716980691975e-06,-21.406303108029533,2.638950887393684e-07,-83.92397461490084,0.5143363273079873,50.0,10.0,-1.0516743396138395e-09,-0.04281260621605907,5.2779017747873675e-11,8.285045623779296e-10,-0.0008672065734863281,1.0819057933986187e-10,-8.393243789672852,8.390509111894136,0.0,3080,0.0,0.0,0.0
0.75,60,-0.1684474428809856,0.0010197172853368456,0.0,-2.4298174,0.0,-84.19021,1.2827205891241533e-05,-21.470854813349433,3.026829357012477e-08,-84.2237214404928,0.5098586426684227,50.0,10.0,2.5654411782483066e-09,-0.04294170962669887,6.053658714024954e-12,8.577108383178711e-09,-0.0008465893864631653,-1.2210803106427192e-10,-8.423201560974121,8.42016328736299,0.0,3360,0.0,0.0,0.0
0.8125,65,-0.16893311546389464,0.0010120007723662585,0.0,-2.4421482,0.0,-84.43276,-3.902397122779178e-06,-21.52353322209092,-5.12584765100855e-07,-84.46655773194732,0.5060003861831293,50.0,10.0,-7.804794245558355e-10,-0.04304706644418184,-1.0251695302017101e-10,3.421306610107422e-09,-0.0008306633830070495,-1.0053045116364956e-10,-8.447468757629395,8.444124778380093,0.0,3640,0.0,0.0,0.0
0.875,70,-0.16933701612723775,0.0010059194480041501,0.0,-2.452235,0.0,-84.63448,-4.946923577087148e-05,-21.567922770918813,4.434731515666392e-06,-84.66850806361887,0.5029597240020751,50.0,10.0,-9.893847154174295e-09,-0.04313584554183762,8.869463031332785e-10,-1.1533498764038086e-08,-0.0008186052441596985,1.147278817370534e-09,-8.467643737792969,8.46398963167148,0.0,3920,0.0,0.0,0.0
0.9375,75,-0.16967064288817071,0.0010005660702700821,0.0,-2.4607317,0.0,-84.8011,-8.033692155784422e-05,-21.60471160209272,3.7550819447989625e-06,-84.83532144408535,0.500283035135041,50.0,10.0,-1.6067384311568845e-08,-0.04320942320418544,7.510163889597925e-10,-1.1584162712097168e-08,-0.0008088715076446533,6.828049663454294e-10,-8.484312057495117,8.480348457051921,0.0,4200,0.0,0.0,0.0
1.0,80,-0.16995014966416647,0.0009959326701464352,0.0,-2.4679244,0.0,-84.94069,-6.241687160901677e-05,-21.635630943172146,1.3961286889762215e-06,-84.97507483208324,0.4979663350732176,50.0,10.0,-1.2483374321803353e-08,-0.04327126188634429,2.792257377952443e-10,-1.7008185386657714e-08,-0.0008009305596351624,1.7968122847378254e-10,-8.498270988464355,8.494000354284807,0.0,4480,0.0,0.0,0.0
1.0625,85,-0.17018633295772626,0.0009919630377554637,0.0,-2.4740293,0.0,-85.05864,-5.0998147793634985e-05,-21.662105175317265,1.1793599428453014e-06,-85.09316647886313,0.4959815188777319,50.0,10.0,-1.0199629558726998e-08,-0.04332421035063453,2.3587198856906027e-10,-5.0008296966552736e-09,-0.0007948792576789856,1.5827245078980923e-10,-8.510078430175781,8.50549629718592,0.0,4760,0.0,0.0,0.0
1.125,90,-0.1703854427588138,0.0009885042221186133,0.0,-2.479232,0.0,-85.15807,-1.793749101608455e-05,-21.68445756699657,5.441629861595082e-07,-85.19272137940689,0.49425211105930666,50.0,10.0,-3.58749820321691e-09,-0.043368915133993144,1.0883259723190163e-10,-1.3262033462524413e-09,-0.0007898544669151306,4.572211764752865e-11,-8.520024299621582,8.51513582756862,0.0,5040,0.0,0.0,0.0
1.1875,95,-0.17055737315389186,0.0009855457950011472,0.0,-2.4837105,0.0,-85.243935,-1.0871965256953331e-05,-21.703915735473856,6.433108912136387e-07,-85.27868657694593,0.4927728975005736,50.0,10.0,-2.174393051390666e-09,-0.04340783147094771,1.2866217824272775e-10,2.747774124145508e-09,-0.0007858393788337708,2.2344174794852732e-10,-8.528614044189453,8.523416279656905,0.0,5320,0.0,0.0,0.0
1.25,100,-0.17070350275471374,0.0009829593612960378,0.0,-2.487553,0.0,-85.31691,-7.266736346878133e-06,-21.720433907292318,5.046592643302142e-07,-85.35175137735688,0.49147968064801895,50.0,10.0,-1.4533472693756267e-09,-0.04344086781458464,1.0093185286604283e-10,-2.771615982055664e-09,-0.0007824032306671143,2.974469680339098e-10,-8.535908699035645,8.530402652467547,0.0,5600,0.0,0.0,0.0
1.3125,105,-0.17083070330244213,0.0009807134017676463,0.0,-2.4908948,0.0,-85.38043,-5.869249634748996e-06,-21.73494931642199,3.7584249482232844e-07,-85.41535165122106,0.4903567008838231,50.0,10.0,-1.1738499269497993e-09,-0.04346989863284398,7.51684989644657e-11,-1.4692544937133788e-09,-0.0007796835899353027,-2.005835995078087e-11,-8.542261123657227,8.536442807216698,0.0,5880,0.0,0.0,0.0
1.375,110,-0.17094087264048208,0.0009786761825262503,0.0,-2.4938352,0.0,-85.43545,-1.4338893204346448e-05,-21.74751850613393,3.8821653820624025e-07,-85.47043632024103,0.48933809126312516,50.0,10.0,-2.8677786408692894e-09,-0.04349503701226786,7.764330764124805e-11,-2.6702880859375e-09,-0.0007773168087005615,3.4914701245725157e-10,-8.547762870788574,8.541634786878005,0.0,6160,0.0,0.0,0.0
1.4375,115,-0.1710374739349375,0.0009769247442384128,0.0,-2.496396,0.0,-85.48369,1.7568953962765477e-06,-21.758597148873378,1.4679586098314927e-07,-85.51873696746875,0.48846237211920635,50.0,10.0,3.5137907925530953e-10,-0.04351719429774675,2.9359172196629856e-11,-2.6971101760864257e-09,-0.0007753446698188782,1.7543206922709942e-10,-8.552590370178223,8.546151009576132,0.0,6440,0.0,0.0,0.0
1.5,120,-0.17112232834906868,0.0009753370806078479,0.0,-2.49867,0.0,-85.52606,-8.369877946279303e-08,-21.768360787944403,-1.8397292248883805e-07,-85.56116417453434,0.487668540303924,50.0,10.0,-1.6739755892558605e-11,-0.0435367215758888,-3.679458449776761e-11,6.094574928283691e-09,-0.0007736859321594238,-1.92329753190279e-10,-8.556830406188965,8.550076124716343,0.0,6720,0.0,0.0,0.0
1.5625,125,-0.17119656459503893,0.0009739454502146624,0.0,-2.500661,0.0,-85.56313,4.581456869878764e-06,-21.776917096052784,-6.307644061806592e-07,-85.59828229751946,0.4869727251073312,50.0,10.0,9.162913739757528e-10,-0.04355383419210557,-1.2615288123613184e-10,4.506111145019531e-09,-0.0007722617387771606,-1.6862759366631507e-10,-8.560538291931152,8.553472405363095,0.0,7000,0.0,0.0,0.0
1.625,130,-0.17126369634686742,0.0009726921989465719,0.0,-2.5024586,0.0,-85.59666,2.0734813238831862e-05,-21.784808325232007,-1.1938788106833232e-06,-85.63184817343371,0.48634609947328594,50.0,10.0,4.146962647766372e-09,-0.043569616650464014,-2.3877576213666466e-10,6.243586540222168e-09,-0.0007712898254394531,-1.7614220269024372e-10,-8.563888549804688,8.556511844178921,0.0,7280,0.0,0.0,0.0
1.6875,135,-0.1713217391401095,0.000971566237371153,0.0,-2.504034,0.0,-85.62564,8.236766488423086e-06,-21.79154311644379,-5.65212738394506e-07,-85.66086957005476,0.4857831186855765,50.0,10.0,1.6473532976846172e-09,-0.043583086232887584,-1.1304254767890119e-10,4.202127456665039e-10,-0.0007702512741088867,-3.917666617780924e-10,-8.566790580749512,8.559099470901531,0.0,7560,0.0,0.0,0.0
1.75,140,-0.17137348765934757,0.0009705496930941071,0.0,-2.505445,0.0,-85.65148,1.159462924427146e-05,-21.79762840998592,-3.451497761594764e-07,-85.68674382967379,0.48527484654705355,50.0,10.0,2.318925848854292e-09,-0.04359525681997184,-6.902995523189529e-11,7.811188697814941e-09,-0.0007694915533065796,-1.738080754876137e-10,-8.569379806518555,8.561372382463974,0.0,7840,0.0,0.0,0.0
1.8125,145,-0.17142149236428353,0.0009696228449897447,0.0,-2.5067458,0.0,-85.67545,1.7308111638136836e-05,-21.80320005735848,-3.4574562172420484e-07,-85.71074618214176,0.48481142249487236,50.0,10.0,3.4616223276273674e-09,-0.04360640011471696,-6.914912434484097e-11,-4.5299530029296875e-10,-0.0007686695456504822,8.172355592250824e-12,-8.571770668029785,8.563452982387394,0.0,8120,0.0,0.0,0.0
1.875,150,-0.1714640422662375,0.0009688132584062914,0.0,-2.5078928,0.0,-85.6967,6.027050623025332e-06,-21.80825867818203,-6.82895375928895e-08,-85.73202113311875,0.4844066292031457,50.0,10.0,1.2054101246050665e-09,-0.04361651735636406,-1.36579075185779e-11,2.491474151611328e-09,-0.0007681505084037781,-2.1152081899344922e-10,-8.573897361755371,8.565265903105292,0.0,8400,0.0,0.0,0.0
1.9375,155,-0.1715021318273763,0.0009680626208045861,0.0,-2.5089326,0.0,-85.71572,3.220353073540849e-05,-21.812662207521498,-2.111001559698504e-07,-85.75106591368815,0.4840313104022931,50.0,10.0,6.440706147081699e-09,-0.04362532441504299,-4.222003119397008e-11,2.5153160095214845e-09,-0.0007674490213394165,4.895264282822609e-12,-8.575800895690918,8.566852149721479,0.0,8680,0.0,0.0,0.0
2.0,160,-0.17153730152947924,0.0009674166158209522,0.0,-2.509869,0.0,-85.733284,2.1101422618130528e-06,-21.81677521765232,1.0852612776263322e-07,-85.76865076473962,0.4837083079104761,50.0,10.0,4.2202845236261055e-10,-0.04363355043530464,2.1705225552526643e-11,2.0325183868408202e-09,-0.0007669023871421813,1.4086253941059112e-10,-8.577553749084473,8.568292042533528,0.0,8960,0.0,0.0,0.0
2.0625,165,-0.17156899075245371,0.0009667521294352521,0.0,-2.510754,0.0,-85.74911,9.221457230701446e-06,-21.820575110963546,-7.991067640692687e-07,-85.78449537622686,0.48337606471762606,50.0,10.0,1.8442914461402893e-09,-0.04364115022192709,-1.5982135281385375e-10,-5.936622619628906e-09,-0.0007665939331054687,-8.08853656053543e-11,-8.579136848449707,8.569557817005222,0.0,9240,0.0,0.0,0.0
2.125,170,-0.17159701136018846,0.0009662100242834876,0.0,-2.511514,0.0,-85.7631,5.0640062395856944e-05,-21.82387612806633,-4.040814552386772e-07,-85.79850568009422,0.4831050121417438,50.0,10.0,1.0128012479171389e-08,-0.04364775225613266,-8.081629104773544e-11,1.0395050048828125e-08,-0.0007661846280097961,-7.4098352342844e-12,-8.580538749694824,8.570644302117637,0.0,9520,0.0,0.0,0.0
2.1875,175,-0.17162309385104957,0.0009656412715909269,0.0,-2.5122533,0.0,-85.77612,3.8517647823255174e-05,-21.82704655622365,-2.65942470043792e-07,-85.81154692552478,0.4828206357954634,50.0,10.0,7.703529564651035e-09,-0.0436540931124473,-5.31884940087584e-11,5.313754081726074e-09,-0.0007660034894943238,5.030888132750988e-11,-8.581843376159668,8.571633577868198,0.0,9800,0.0,0.0,0.0
2.25,180,-0.1716472036988362,0.0009651601306064707,0.0,-2.5129144,0.0,-85.78816,8.260384416480804e-06,-21.829851653135847,-1.418482005420595e-06,-85.82360184941811,0.48258006530323533,50.0,10.0,1.6520768832961608e-09,-0.0436597033062717,-2.83696401084119e-10,-2.7060508728027345e-09,-0.0007656102776527404,-2.608983777463436e-10,-8.583041191101074,8.572520355918083,0.0,10080,0.0,0.0,0.0
2.3125,185,-0.17166925108736458,0.0009647152749708962,0.0,-2.5135214,0.0,-85.79917,1.9130012116619355e-06,-21.832467335043475,-3.8772781037394767e-07,-85.8346255436823,0.4823576374854481,50.0,10.0,3.826002423323871e-10,-0.04366493467008695,-7.754556207478954e-11,-1.6510486602783202e-09,-0.0007653534412384033,-8.682836778461933e-11,-8.584138870239258,8.573302793874639,0.0,10360,0.0,0.0,0.0
2.375,190,-0.17168977001518038,0.0009643177182793439,0.0,-2.5140781,0.0,-85.80942,3.318137978425284e-05,-21.834888696903363,-3.7760477382300754e-07,-85.8448850075902,0.48215885913967194,50.0,10.0,6.636275956850568e-09,-0.04366977739380672,-7.552095476460151e-11,1.8924474716186524e-09,-0.0007650701403617859,-2.108223270624876e-10,-8.58516788482666,8.574013789755183,0.0,10640,0.0,0.0,0.0
