time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,force_density,force_units,moment_units,reference_speed,reference_speed_units,power,rotational_power,translational_power
1.68,672,0.6952276424485808,0.07052971067882718,-8.288342770993657e-10,-0.6479917,-7.614915e-09,6.387404,0.0,0.0,0.0,-3.3594174602956405e-08,-4.630616782484926,3.23507512782847e-08,6.387403964996338,0.6479917168617249,15.312500000000002,0.6000000000000001,-3.656508800321785e-09,-0.8400211850312788,3.521170207160239e-09,5.743947817760259e-09,0.10711028732680405,-1.5328017373879748e-09,-1.0773952007293701,0.5435570662336283,0.0,93676,1.225,N,N*m,5.0,m/s,-0.14728500306759473,-0.08129298352866504,-0.06599201953892964
1.6825,673,0.6962791494771735,0.06971686875739064,-2.563228299302764e-10,-0.64052373,-2.354966e-09,6.3970647,0.0,0.0,0.0,6.79561260800136e-08,-4.681579940336426,-3.572880999295569e-08,6.397064685821533,0.6405237317085266,15.312500000000002,0.6000000000000001,7.3965851515661045e-09,-0.8492662023286031,-3.888850067260483e-09,3.71713330652438e-08,0.0996899983239552,7.879416629367944e-09,-1.0784995555877686,0.5403724935486558,0.0,93756,1.225,N,N*m,5.0,m/s,-0.17683194707951966,-0.07424163193840994,-0.10259031514110939
1.685,674,0.6966581279728687,0.06884814281852876,5.769306942990815e-09,-0.6325423,5.3005508e-08,6.4005466,0.0,0.0,0.0,1.5032725725966573e-07,-4.734579872790332,-6.456623454172193e-08,6.400546550750732,0.6325423121452332,15.312500000000002,0.6000000000000001,1.6362150450031642e-08,-0.8588807025469987,-7.027617365085379e-09,1.475861182018202e-08,0.09100407970194911,-2.54846602475562e-09,-1.079604983329773,0.5369885939807127,0.0,93828,1.225,N,N*m,5.0,m/s,-0.2145225521129155,-0.06770583607169856,-0.14681671604121682
1.6875,675,0.6973918992645886,0.06791040199954493,6.4182685349385246e-09,-0.6239268,5.8967842e-08,6.407288,0.0,0.0,0.0,7.572918701566171e-08,-4.792473740305841,-1.5402936906672062e-07,6.407288074493408,0.6239268183708191,15.312500000000002,0.6000000000000001,8.24263260034413e-09,-0.869382991438701,-1.6765101395017207e-08,-2.3916617137234224e-09,0.08208242944038371,-2.155188141631431e-08,-1.0807112455368042,0.533500227100013,0.0,93906,1.225,N,N*m,5.0,m/s,-0.25287733926531164,-0.061218042087122976,-0.19165929717818875
1.69,676,0.698205078540205,0.0669927726797506,-2.4378324906756703e-09,-0.6154961,-2.2397586e-08,6.414759,0.0,0.0,0.0,1.8156174074843048e-07,-4.845801639463039,-1.1402243618402019e-07,6.414759159088135,0.6154960989952087,15.312500000000002,0.6000000000000001,1.9761822122278144e-08,-0.8790569867506643,-1.2410605298940972e-08,3.7905462339621813e-08,0.07411655114621529,-1.145582202644575e-08,-1.0818170309066772,0.5300212816713892,0.0,93984,1.225,N,N*m,5.0,m/s,-0.2874042047961347,-0.055060720411245156,-0.23234348438488972
1.6925,677,0.6987687714245854,0.06592310691366389,8.568935807327877e-09,-0.60566854,7.87271e-08,6.419938,0.0,0.0,0.0,1.7654609683738043e-07,-4.901365839158115,-1.6896078656391752e-07,6.419938087463379,0.6056685447692871,15.312500000000002,0.6000000000000001,1.9215901696585622e-08,-0.889136660164737,-1.8390289694031835e-08,2.4196964238776636e-08,0.06560304537922344,-4.86841748411558e-08,-1.0829238891601562,0.5264119074059807,0.0,94056,1.225,N,N*m,5.0,m/s,-0.3254536639079766,-0.0491865019344791,-0.27626716197349754
1.695,678,0.6996607358763817,0.06498075342502722,4.549042541901168e-08,-0.5970107,4.1794328e-07,6.428133,0.0,0.0,0.0,4.341968584277553e-07,-4.9575531972997835,-2.104982429273301e-07,6.428133010864258,0.5970106720924377,15.312500000000002,0.6000000000000001,4.7259522005742064e-08,-0.8993293781949717,-2.291137337984545e-08,2.239609048480079e-08,0.05734088469524771,-5.502287032348768e-08,-1.0840294361114502,0.5239740158195183,0.0,94130,1.225,N,N*m,5.0,m/s,-0.3624926426736441,-0.043585773456089244,-0.31890686921755496
1.6975,679,0.7003481079931971,0.0639413716841717,5.674205041731244e-08,-0.58746135,5.213176e-07,6.4344482,0.0,0.0,0.0,5.066172691972615e-07,-5.014725758355986,-9.432525944463844e-08,6.4344482421875,0.5874613523483276,15.312500000000002,0.6000000000000001,5.5142015694940016e-08,-0.9097008178423555,-1.0266694905538875e-08,1.5933060270993885e-08,0.04875255550116366,-4.91815137670559e-08,-1.0851365327835083,0.5210630693311173,0.0,94200,1.225,N,N*m,5.0,m/s,-0.40176326088888237,-0.03826803565774947,-0.36349522523113276
1.7,680,0.7008287079480229,0.06296480269659133,2.5144475200379794e-08,-0.5784891,2.3101487e-07,6.4388638,0.0,0.0,0.0,5.637310236732504e-07,-5.069971635831283,-6.899705103270573e-08,6.438863754272461,0.5784891247749329,15.312500000000002,0.6000000000000001,6.13584787671565e-08,-0.9197227457290307,-7.509883105600623e-09,4.1418512459514896e-08,0.040162961228904795,-1.906360290488418e-08,-1.0862418413162231,0.5188495162960408,0.0,94270,1.225,N,N*m,5.0,m/s,-0.4416992034527105,-0.03325297020584639,-0.4084462332468646
1.7025,681,0.7018467909624786,0.0620644627785196,5.150680711570505e-08,-0.57021725,4.732188e-07,6.4482174,0.0,0.0,0.0,6.202257453267329e-07,-5.132383763138979,-1.3620839254309001e-07,6.448217391967773,0.5702172517776489,15.312500000000002,0.6000000000000001,6.75075641171954e-08,-0.931044673585302,-1.4825403269996189e-08,3.6097461116962684e-08,0.031010845080524874,-4.505312551750617e-08,-1.0873470306396484,0.5159474084860463,0.0,94341,1.225,N,N*m,5.0,m/s,-0.4846997318158426,-0.028482620864476227,-0.4562171109513664
